Model iteration,Intercept,clc_age_rcs_1_C,clc_age_rcs_2_C,clc_age_rcs_3_C,fmh_15_1_C,hwmdbmi_rcs_1_C,hwmdbmi_rcs_2_C,diabx_1_C,clc_age_rcs_1_by_hwmdbmi_rcs_1_C,clc_age_rcs_2_by_hwmdbmi_rcs_1_C,clc_age_rcs_3_by_hwmdbmi_rcs_1_C,clc_age_rcs_1_by_hwmdbmi_rcs_2_C,clc_age_rcs_2_by_hwmdbmi_rcs_2_C,clc_age_rcs_3_by_hwmdbmi_rcs_2_C,clc_age_rcs_1_by_diabx_1_C,clc_age_rcs_2_by_diabx_1_C,clc_age_rcs_3_by_diabx_1_C
bootstrap_1,-2.122907414,0.653948097,-0.801707213,1.417528497,0.945143945,0.832213913,-0.490429116,9.461849792,-0.018032098,0.023347507,-0.037643361,0.011008253,-0.004775732,-0.014569402,-0.189088921,0.312368665,-0.685429621
bootstrap_2,-2.085019472,0.295715787,-0.916054901,2.587291519,0.588269431,0.137109387,0.246621022,1.933589336,-0.003279979,0.024970981,-0.074720209,-0.006068927,0.004492023,-0.009588563,0.025118407,-0.18231222,0.447845344
bootstrap_3,-1.934193912,0.645091092,-1.150820712,2.644875293,0.885506819,0.91468231,-1.016931329,6.887040932,-0.022383775,0.047307708,-0.108699889,0.028926113,-0.065573147,0.148997697,-0.134282068,0.255711493,-0.640634186
bootstrap_4,-1.91958106,0.666546017,-0.706243716,1.026215185,0.700278602,0.980862636,-0.929744264,0.972409447,-0.021573562,0.027007806,-0.040394577,0.024071115,-0.040147261,0.074651004,0.015454305,0.002448086,-0.148719269
bootstrap_5,-1.843600853,0.215711837,-0.213404432,0.576116695,0.655613497,0.238072824,-0.186921579,5.65244214,-0.002473692,0.002829163,-0.009385139,0.003732097,-0.005987836,0.00995855,-0.08254063,0.083972836,-0.203472505
bootstrap_6,-1.954498866,0.518495477,-0.336545056,0.106013688,0.82370767,0.725452964,-0.486895716,4.022395512,-0.014199722,0.009299967,0.003528428,0.009660089,0.004097199,-0.04571312,-0.037942501,-0.122220391,0.428314549
bootstrap_7,-1.893553542,0.378597202,-0.414847083,0.703463448,0.782292683,0.448540953,-0.597075318,6.539752974,-0.009092003,0.0119167,-0.018127154,0.01516819,-0.014720885,0.003914417,-0.124870123,0.206042755,-0.48755952
bootstrap_8,-2.121899089,0.599903796,-1.160789909,2.754732792,0.82017424,0.767354953,-0.935699851,5.104470005,-0.017422729,0.041221323,-0.098587383,0.024948399,-0.053152823,0.111186699,-0.062408342,-0.003886582,0.021506055
bootstrap_9,-2.169990254,0.688076334,-1.838553133,4.962925399,0.803835172,0.772898529,-0.637976394,11.46129114,-0.020553497,0.06776435,-0.186034713,0.01983329,-0.059288998,0.150370677,-0.242621188,0.342012336,-0.645005324
bootstrap_10,-2.088149301,1.224855966,-2.059705343,4.219078475,0.927959749,1.786251214,-1.962144927,4.476295403,-0.044950856,0.084130665,-0.174822245,0.054760361,-0.112782559,0.243457146,-0.042137917,-0.038367003,0.089267021
bootstrap_11,-1.972127702,0.427540723,-0.156076438,-0.239163761,0.788311158,0.658864957,-0.636381762,2.741847163,-0.012009235,0.003722927,0.015473558,0.012720553,0.003709504,-0.045526579,0.016717611,-0.202664129,0.46416869
bootstrap_12,-1.874982034,0.698170922,-1.370868987,3.112230844,0.776276153,0.818303142,-0.884870086,8.121861722,-0.022233011,0.050639977,-0.115509178,0.027232994,-0.063045628,0.142409095,-0.172125024,0.399210959,-1.067719867
bootstrap_13,-1.98207069,-0.268742005,1.353466512,-3.711552908,0.72348011,-0.347989375,0.426852575,-0.270169009,0.015297713,-0.053241892,0.144071386,-0.015120449,0.052553497,-0.147932151,0.063290121,-0.155766212,0.254336817
bootstrap_14,-2.004333562,0.708415352,-1.475955715,3.17245843,0.79356668,0.750351005,-0.546641024,5.561273329,-0.021283922,0.052306937,-0.112435507,0.017545607,-0.032972543,0.050065236,-0.083145561,0.062836795,-0.09432057
bootstrap_15,-1.869624789,0.607788443,-1.182399708,2.986848998,0.610667761,0.863289744,-1.155330305,7.446582153,-0.02007442,0.046003152,-0.115429456,0.031496965,-0.070913295,0.165593928,-0.156222549,0.32583185,-0.827593773
bootstrap_16,-1.971766495,0.444371894,-0.270625904,0.006225356,0.799536227,0.633297218,-0.53002025,6.008834226,-0.012456929,0.00876538,0.002205952,0.011185547,0.001017427,-0.035801772,-0.104713931,0.152462285,-0.342242789
bootstrap_17,-2.079900218,1.653163059,-3.368401798,7.444073382,0.830381792,2.098264424,-1.889313665,9.896918837,-0.056913603,0.120618408,-0.263127726,0.053123284,-0.1051557,0.21256508,-0.211706117,0.440853646,-1.119106556
bootstrap_18,-1.87629008,0.26738485,-0.642219437,1.585211373,0.813229625,0.343578495,-0.592607576,-0.172460206,-0.007577773,0.027599054,-0.067775256,0.017812016,-0.04735568,0.100204632,0.065381082,-0.191355155,0.38447274
bootstrap_19,-2.342823199,0.730581958,-0.163858221,-0.601833165,0.834370118,1.286727165,-1.254463989,9.019681333,-0.022217833,0.001102941,0.036236932,0.024040745,0.000932033,-0.055565093,-0.171096073,0.268379219,-0.662615498
bootstrap_20,-1.910383701,1.399940403,-2.853547217,6.515379361,0.633988336,1.915594964,-1.961129566,7.550726148,-0.04990671,0.107030149,-0.243201131,0.054612053,-0.122119704,0.281001834,-0.155760547,0.322652909,-0.82468003
bootstrap_21,-1.878531999,0.926497018,-1.770750264,3.890739847,0.933720396,1.186440617,-1.500279852,3.71933756,-0.03107879,0.065128646,-0.142251147,0.043437976,-0.092425456,0.198171379,-0.04585716,0.12625446,-0.445300711
bootstrap_22,-1.924881524,0.167876792,0.043473264,-0.281035984,0.714048938,0.275812298,-0.365607236,5.19315528,-0.002465095,-0.000870177,0.008283415,0.010264281,-0.024423288,0.049260779,-0.072886733,0.029551948,-0.07073919
bootstrap_23,-1.927318492,0.926047851,-1.396987856,2.554149427,0.855846507,1.341688621,-1.508791237,3.704653582,-0.032676735,0.055398839,-0.102645214,0.039307092,-0.057302373,0.081475113,-0.027376368,-0.06373426,0.176316769
bootstrap_24,-2.124286767,1.536115546,-2.846042791,6.010354829,0.692799292,2.063775028,-2.154738083,8.046175765,-0.055350967,0.110843254,-0.235566253,0.061471197,-0.122214037,0.25084686,-0.144413645,0.195114339,-0.464666267
bootstrap_25,-1.995542146,1.066062146,-1.664529969,3.247852708,0.690640103,1.505359174,-1.600238898,5.242316226,-0.037085301,0.06359319,-0.124674229,0.04284668,-0.074564352,0.139125237,-0.075112068,0.050330201,-0.078490972
bootstrap_26,-1.908027987,1.153281222,-2.355142767,5.284332723,0.722305784,1.559842482,-1.483995168,2.221789045,-0.041063003,0.091708012,-0.206437081,0.041323063,-0.087316663,0.18222896,0.037838232,-0.263914796,0.639607519
bootstrap_27,-1.930867269,0.45019857,-0.833408566,1.791374153,0.758386081,0.513974788,-0.462161749,2.753045954,-0.012467285,0.029479963,-0.062288593,0.014450062,-0.029588822,0.047004537,0.005838646,-0.121529896,0.246319795
bootstrap_28,-1.946837007,0.12587852,-0.099257288,0.272270987,0.885620919,0.081804435,-0.132174881,5.281078279,0.001156498,-0.001383869,0.00210293,0.003841049,-0.014218682,0.033398472,-0.091333082,0.212246138,-0.616732758
bootstrap_29,-1.99761517,0.928546484,-1.952260824,4.564958621,0.840576183,1.161848021,-1.260261305,5.558616292,-0.030647081,0.071216559,-0.165452939,0.036103049,-0.076854288,0.16221287,-0.08015608,0.050612876,-0.088781544
bootstrap_30,-2.207501111,1.137442847,-1.393587549,2.234972322,0.737787204,1.686919524,-1.551596766,7.069419212,-0.038826464,0.05186483,-0.082553773,0.039582505,-0.055556649,0.08021323,-0.135247013,0.219445444,-0.550332036
bootstrap_31,-1.887826827,-0.056526371,0.053397648,0.153043984,0.69733038,-0.199775662,0.097952176,-0.780427743,0.007780947,-0.005612582,0.001610918,-0.001875767,-0.007740023,0.020688805,0.093859483,-0.244205189,0.451870086
bootstrap_32,-2.178959499,1.181201589,-1.693106675,3.284203243,0.901026139,1.758741932,-1.652222785,6.52579179,-0.0409043,0.062109879,-0.118817336,0.03706795,-0.034319874,0.033017052,-0.091136888,0.020470199,-0.011074544
bootstrap_33,-1.865798434,0.288882079,-0.057815435,-0.250413656,0.875591576,0.497989045,-0.397443925,6.139919463,-0.007204176,0.00064245,0.01356418,0.005628647,0.013024889,-0.060076534,-0.089096308,0.080294007,-0.200271425
bootstrap_34,-1.708969411,0.269719503,-0.40259841,0.616188999,0.709673656,0.306820908,-0.510401468,-0.707388231,-0.00833499,0.019574695,-0.032718327,0.017655532,-0.038973593,0.064804421,0.080240816,-0.173364762,0.269537276
bootstrap_35,-2.057460389,1.728969259,-3.421812626,7.5749439,0.833403303,2.39337126,-2.735360619,6.92570322,-0.063787198,0.133845628,-0.296036484,0.076646173,-0.167580615,0.375364044,-0.117094393,0.109974545,-0.210428845
bootstrap_36,-2.072319336,1.24067396,-3.050532351,7.82022351,1.061662023,1.673599053,-1.86632187,4.151490245,-0.044920547,0.120658043,-0.310327969,0.053776494,-0.145341067,0.370081997,-0.027314622,-0.107412359,0.28014336
bootstrap_37,-2.054589289,0.857052877,-1.84504073,4.307686484,0.785075389,1.009751116,-0.76045558,11.44178489,-0.027019127,0.067641312,-0.159504813,0.02356039,-0.05459684,0.112233515,-0.246849731,0.436174675,-1.021637685
bootstrap_38,-1.952719928,0.399407653,-1.018520504,2.73402623,0.764410192,0.375593189,-0.131168871,6.992929558,-0.008856272,0.034595191,-0.097824794,0.003179044,-0.016321735,0.052207885,-0.112524274,0.059459034,-0.013285263
bootstrap_39,-2.039368634,0.750100104,-0.704040631,0.734224456,0.716608845,1.091007914,-1.049493462,5.757536454,-0.024252224,0.025342208,-0.024498593,0.025363889,-0.024882405,0.013500603,-0.074284473,-0.030972218,0.144422114
bootstrap_40,-1.982975656,0.458554594,-0.459243114,0.370592094,0.831103443,0.585810404,-0.67252702,6.484023842,-0.012625593,0.013573137,-0.002874297,0.01665354,-0.012782305,-0.016626086,-0.118838725,0.222999376,-0.582611688
bootstrap_41,-1.874674257,0.490061938,-1.052013816,2.652695957,0.874905883,0.60839561,-0.514031697,6.818082287,-0.014673603,0.041037114,-0.105319275,0.013813286,-0.038655941,0.095784095,-0.125788466,0.180703698,-0.414535502
bootstrap_42,-1.924056081,0.01899158,0.312766296,-0.776129039,0.823219158,-0.063492896,0.129183356,0.560353946,0.005700217,-0.018397741,0.043946819,-0.005200613,0.022202037,-0.06422537,0.02743393,-0.032546191,-0.032415429
bootstrap_43,-2.140195371,0.902971062,-2.201650443,5.744252783,0.945254787,1.110083712,-1.140705778,8.803019733,-0.027827545,0.077610301,-0.204291855,0.029869314,-0.070802685,0.170749054,-0.137004168,0.076102711,-0.148755042
bootstrap_44,-1.883624856,0.147420932,-0.373712402,1.214121414,0.857856696,0.165896063,0.062296618,5.426385826,-0.001952293,0.016100814,-0.05194144,-0.002414358,0.001203542,-0.005234163,-0.040924177,-0.126191616,0.339961894
bootstrap_45,-1.846963145,-0.189404494,0.893303151,-2.384749661,0.796987465,-0.268449239,0.368805473,9.914435044,0.012390398,-0.037388433,0.098854301,-0.012115682,0.044580534,-0.135551374,-0.220816091,0.475305511,-1.181877651
bootstrap_46,-1.827826292,0.341149461,-1.070672706,3.03534841,0.922108611,0.344031824,-0.392243575,5.558440585,-0.008495402,0.037375849,-0.10591515,0.012274776,-0.042403785,0.10634562,-0.10465505,0.215351975,-0.585600667
bootstrap_47,-1.82258049,0.957262603,-2.093376717,4.908040216,0.876196127,1.211509184,-1.278341832,4.310631056,-0.033495902,0.081766185,-0.193058766,0.038991074,-0.096358245,0.225706237,-0.05761107,0.103456455,-0.309967951
bootstrap_48,-2.412058166,1.885058147,-3.41474895,7.45372983,0.872903175,2.649494546,-2.995804467,7.930514026,-0.067598541,0.129471421,-0.283094539,0.080451977,-0.15924759,0.348105747,-0.130529758,0.093242896,-0.149546454
bootstrap_49,-1.874918104,0.491573226,-1.145870798,3.05699932,0.835454998,0.636008956,-0.810267317,3.591752661,-0.015375961,0.04515576,-0.120974424,0.024667479,-0.071163356,0.179183118,-0.036085588,0.0374846,-0.161076441
bootstrap_50,-1.890835144,0.700768568,-0.645441879,0.629185893,0.809983449,1.123137043,-1.392497064,3.663544129,-0.024780889,0.026607004,-0.026272453,0.035497505,-0.0492792,0.070439076,-0.045455912,0.113218536,-0.402526297
bootstrap_51,-2.006741859,0.657061487,-1.253457608,3.000986147,0.80766403,0.926863377,-0.984531767,7.023138938,-0.021192902,0.048894712,-0.119102383,0.026529831,-0.063992922,0.148667456,-0.135047109,0.222676233,-0.524935668
bootstrap_52,-2.0339325,1.461357592,-2.538909615,5.179305127,0.82928922,2.023352367,-2.249359364,8.052603738,-0.052017611,0.095070788,-0.191799521,0.060317601,-0.101897555,0.186706832,-0.140983037,0.162717851,-0.359374847
bootstrap_53,-1.8724967,0.856696143,-2.169046882,5.649526774,0.694703242,0.994399665,-0.726938107,5.906830295,-0.028058824,0.082045206,-0.216690293,0.02357572,-0.07587747,0.206275874,-0.075459306,-0.015089924,0.087631381
bootstrap_54,-1.918960636,0.773322204,-1.246407088,2.282630816,0.803421713,0.997658923,-0.941113013,-8.808922666,-0.025370572,0.046013685,-0.082662479,0.02594743,-0.037828488,0.045275063,0.303301691,-0.718274805,1.633033795
bootstrap_55,-1.896110094,0.016199516,1.110846238,-3.417875457,0.722954433,0.171105017,-0.268083921,6.417004356,0.003873066,-0.044784331,0.135698793,0.001311483,0.035359707,-0.117448083,-0.103873277,0.089768236,-0.172484734
bootstrap_56,-2.102904397,-0.845274654,2.953621064,-7.757494058,0.983741458,-1.193603366,1.251612631,10.59988401,0.041491771,-0.124128137,0.321801775,-0.039603946,0.121933638,-0.328868266,-0.240989819,0.515893252,-1.246561814
bootstrap_57,-1.80906995,0.183359841,0.205910603,-1.245415613,0.847308696,0.195103958,-0.023694956,5.016967407,-0.0022041,-0.010966628,0.055720186,-0.000236132,0.023750915,-0.102518335,-0.06657888,0.05741819,-0.183366991
bootstrap_58,-2.178367341,1.241352071,-2.850740579,6.605337527,0.775738275,1.500541575,-1.354536402,7.084581081,-0.042921358,0.109769495,-0.256475295,0.041714868,-0.104767343,0.233000524,-0.109322744,0.022415438,0.048549454
bootstrap_59,-2.137017037,1.21354318,-2.30143708,4.776134939,0.930306995,1.58060342,-1.800629745,6.399951546,-0.043058787,0.089673144,-0.186481383,0.051579055,-0.103443495,0.20625891,-0.092332832,0.028843211,-0.0151091
bootstrap_60,-1.806754765,-0.331185808,1.755336087,-4.75615522,0.79983292,-0.312368781,0.311702169,-1.487284851,0.016776506,-0.068063474,0.183793976,-0.013559271,0.063125899,-0.186035718,0.144885319,-0.565595572,1.431967874
bootstrap_61,-1.887343469,0.610169245,-0.738945365,1.334131648,0.821190324,0.892320573,-0.796681041,5.888545775,-0.019758829,0.027877174,-0.04959567,0.019663194,-0.029775262,0.05737565,-0.102506222,0.167331962,-0.458989254
