Model iteration,Intercept,clc_age_rcs_1_C,clc_age_rcs_2_C,clc_age_rcs_3_C,married_2_C,married_3_C,edudr04_1_C,edudr04_2_C,working_2_C,gendmhi_1_C,gen_025_2_C,gen_045_2_C,fmh_15_1_C,hwmdbmi_rcs_1_C,hwmdbmi_rcs_2_C,low_drink_score1_2_C,low_drink_score1_3_C,low_drink_score1_4_C,minperweek_rcs_1_C,minperweek_rcs_2_C,smoke_1_C,smoke_2_C,slp_11_C,totalfv_C,diabx_1_C,ckd_1_C,clc_age_rcs_1_by_gen_045_2_C,clc_age_rcs_2_by_gen_045_2_C,clc_age_rcs_3_by_gen_045_2_C,clc_age_rcs_1_by_hwmdbmi_rcs_1_C,clc_age_rcs_2_by_hwmdbmi_rcs_1_C,clc_age_rcs_3_by_hwmdbmi_rcs_1_C,clc_age_rcs_1_by_hwmdbmi_rcs_2_C,clc_age_rcs_2_by_hwmdbmi_rcs_2_C,clc_age_rcs_3_by_hwmdbmi_rcs_2_C,clc_age_rcs_1_by_minperweek_rcs_1_C,clc_age_rcs_2_by_minperweek_rcs_1_C,clc_age_rcs_3_by_minperweek_rcs_1_C,clc_age_rcs_1_by_minperweek_rcs_2_C,clc_age_rcs_2_by_minperweek_rcs_2_C,clc_age_rcs_3_by_minperweek_rcs_2_C,clc_age_rcs_1_by_smoke_1_C,clc_age_rcs_2_by_smoke_1_C,clc_age_rcs_3_by_smoke_1_C,clc_age_rcs_1_by_smoke_2_C,clc_age_rcs_2_by_smoke_2_C,clc_age_rcs_3_by_smoke_2_C,clc_age_rcs_1_by_slp_11_C,clc_age_rcs_2_by_slp_11_C,clc_age_rcs_3_by_slp_11_C,clc_age_rcs_1_by_diabx_1_C,clc_age_rcs_2_by_diabx_1_C,clc_age_rcs_3_by_diabx_1_C,clc_age_rcs_1_by_ckd_1_C,clc_age_rcs_2_by_ckd_1_C,clc_age_rcs_3_by_ckd_1_C
bootstrap_1,-2.298982655,-0.279597262,0.999126608,-2.04437383,0.119150268,-0.358257916,0.033653985,-0.064663279,-0.08765453,-0.548895725,-0.041270743,1.640867551,0.819160706,-0.238118599,0.51087743,-0.276395037,0.611231518,0.110508878,0.006899479,-0.043740222,4.609744949,2.199764462,-1.043100435,-0.003663219,2.45505591,12.78067489,-0.043819313,0.178614692,-0.484847262,0.00759371,-0.00307554,-0.012290951,-0.013886328,0.024985141,-0.045322555,-0.000165086,-0.000200375,0.000999486,0.00115984,-0.002062782,0.004078928,-0.123560036,0.273143998,-0.564127839,-0.050852392,0.160726062,-0.494267492,0.038273532,-0.154359024,0.382329182,-0.015568306,0.087101201,-0.379493082,-0.297366955,0.560975441,-1.080461759
bootstrap_2,-2.46676126,-0.039781345,0.53311206,-1.047980222,0.143961085,0.29027068,0.259330349,0.342864306,-0.015441085,-0.209532993,-0.092975885,-0.631643893,1.032321679,0.464254352,-0.170910463,-0.282208363,0.87423788,1.081820596,0.025821986,-0.046074164,-1.233498949,1.140507795,-2.461562499,0.050743946,6.905767056,7.094810434,0.028456018,-0.095148786,0.221845716,-0.010033038,0.033524377,-0.092770504,0.003253816,-0.017792481,0.058755969,-0.000646478,-0.000579364,0.003636667,0.001140898,0.00023002,-0.003723086,0.031027407,-0.058524529,0.105051781,-0.060581652,0.373143795,-1.125665227,0.07619118,-0.232315829,0.544083907,-0.151364952,0.420436969,-1.061049179,-0.142941374,0.195900138,-0.350326465
bootstrap_3,-2.659188581,0.050453424,-0.737106998,2.586760283,0.115813242,0.109431618,-0.102092392,0.104484769,0.226599399,-0.103460827,-0.04848388,3.752102567,0.853808016,0.255804211,0.133236565,-0.227356988,0.054733757,0.592358396,-0.012742725,-0.002564873,2.492525666,-4.99282374,-2.031856847,-0.013048686,5.264644644,10.86049232,-0.096019914,0.171352765,-0.305271697,-0.00759592,0.052598079,-0.153880232,-0.00101064,-0.030748298,0.101626664,0.000138888,-0.000582528,0.002097701,0.000301345,-0.000114287,-0.000966666,-0.076061139,0.205501416,-0.431709396,0.130144147,-0.242496889,0.411304272,0.056596836,-0.128815195,0.262137833,-0.098174362,0.252434848,-0.642140615,-0.225970094,0.30178581,-0.485011774
bootstrap_4,-2.169615327,0.11548081,-0.066880715,0.159922714,0.135288702,-0.008986679,0.163483319,-0.053209898,-0.006357872,-0.137470169,-0.183904723,2.017865196,0.996783065,0.175385418,-0.042995108,-0.46778939,0.451832573,0.568028351,0.057907934,-0.10673369,4.640553942,2.60069656,-1.039743297,0.027963242,4.39331359,-5.888374102,-0.040506982,0.092387467,-0.225680313,-0.004866415,0.02760372,-0.070926416,0.003658896,-0.031007941,0.085088064,-0.00165626,0.003133131,-0.005692998,0.002955358,-0.005647544,0.010521981,-0.133104637,0.359984779,-0.826191446,-0.083235247,0.272773794,-0.74644261,0.039265357,-0.141986451,0.33801395,-0.077104365,0.303876685,-0.90542704,0.196522663,-0.508732431,1.112057441
bootstrap_5,-2.36658078,-0.275320606,-0.062072134,1.433274742,0.143449688,0.204651863,0.231119391,0.073832291,0.167041736,-0.315331174,-0.033332755,5.092677737,0.914949138,-0.502291518,0.872974283,-0.53315802,-0.349736661,-0.11948844,0.03565624,-0.074621436,-0.304102984,0.287190651,-1.232381652,-0.031363468,-3.736725277,7.643685456,-0.125793308,0.247641957,-0.484418259,0.011700277,0.026347646,-0.119734438,-0.019963699,-0.008713583,0.080114067,-0.001082591,0.002255085,-0.004197551,0.002080814,-0.004033089,0.007466914,-0.007349474,0.087662024,-0.226572463,-0.011224082,0.026836639,-0.124312344,0.047967092,-0.170976094,0.403772373,0.152906545,-0.389231074,0.771647774,-0.164893987,0.337186221,-0.746003595
bootstrap_6,-2.591002145,-0.515916508,1.072303137,-1.523862616,0.028783336,0.095939053,0.345323985,0.309135106,0.156637043,-0.076423232,0.067014638,-2.900095863,0.900151834,-0.531655291,1.048176357,-0.057493937,0.236623577,0.516218956,-0.006614037,-0.026381389,0.142580014,2.989321478,-1.265237057,-0.051892672,3.952671823,3.247438921,0.066523508,-0.130511508,0.326931455,0.017817439,-0.018091376,0.004299646,-0.029635314,0.040315418,-0.047500636,0.000301934,-0.001659825,0.003959933,0.0005247,0.000417881,-0.001986592,-0.012225484,0.038727029,-0.055657149,-0.074219181,0.080286597,-0.07723004,0.041312111,-0.114010161,0.240360363,-0.06604707,0.183027039,-0.550148042,-0.034409364,-0.081082621,0.295808669
bootstrap_7,-2.425338678,0.143496103,-0.300363478,0.919893435,0.107994803,0.420973126,0.30741808,0.256310618,-0.021914578,-0.405008352,0.087060075,-0.755420437,1.039851082,0.040736096,0.263160505,-0.150959321,0.452989174,0.535871079,0.061514438,-0.095196862,-1.293152263,4.13134961,-0.966700009,-0.020641244,12.02643777,13.88843729,0.026043584,-0.062658025,0.158565051,-0.001623271,0.020820975,-0.058385925,-0.005577115,0.003087721,-0.003750706,-0.001770657,0.003888394,-0.008041963,0.002767425,-0.006679064,0.01458618,0.030796345,-0.040647661,0.106206426,-0.147754728,0.606848537,-1.65749805,0.034615936,-0.110405317,0.241151118,-0.283667051,0.744032421,-1.812456026,-0.337780571,0.732781258,-1.555663079
bootstrap_8,-2.37936406,0.115871675,-0.641569099,2.055427875,-0.042311324,0.3181609,0.215889364,0.126275612,0.128419864,0.196366033,-0.03134301,1.991969392,0.953162265,0.584602511,-0.311635202,-0.245439148,-0.29564631,0.1553946,-0.038344804,0.017072584,-1.890364804,-2.662034062,-2.071255015,-0.016936617,8.942269696,9.3012389,-0.039477959,-0.015083399,0.185781855,-0.018482599,0.085218755,-0.228775113,0.012524067,-0.070552201,0.198651254,0.000947358,-0.002871489,0.007437382,-0.000356615,0.001597169,-0.005015457,0.048597832,-0.021357085,-0.0850476,0.066600545,-0.12705765,0.217533812,0.067347223,-0.21729221,0.524536238,-0.213602816,0.656350179,-1.675656824,-0.19728868,0.220388425,-0.244998702
bootstrap_9,-2.711691115,0.877635647,-1.002805938,1.388790114,-0.004505859,-0.063301604,0.154908902,0.254336436,0.146506795,-0.390831812,-0.240872564,3.34569563,0.91055812,1.443981099,-1.006667647,-0.087034445,0.758070765,0.600641495,-0.003085809,-0.019397424,6.544355661,4.023255167,-1.434330453,-0.062200793,2.253925489,15.50771825,-0.082515679,0.153556155,-0.287087471,-0.035664692,0.066644067,-0.122919832,0.025052479,-0.037447511,0.055762859,0.000212027,-0.002101913,0.006182861,0.000262525,0.002008723,-0.006924975,-0.196559985,0.533907548,-1.18863417,-0.134326025,0.409060395,-0.993011608,0.050328192,-0.167479796,0.383620615,-0.007042708,0.069998202,-0.331902055,-0.378568365,0.698387774,-1.29506774
bootstrap_10,-2.534918218,0.591451305,-1.640405319,4.363335503,-0.164862181,0.117057195,0.133087885,0.039868472,0.06582661,0.127736135,-0.177058846,2.068629554,0.762807248,0.618054628,-0.230597801,-0.159206905,0.39880548,0.104909436,0.084787287,-0.170920451,-0.158160833,0.439474443,-0.495975099,-0.000571653,8.294388399,6.291852507,-0.029615356,-0.08693985,0.365977434,-0.017857214,0.089563655,-0.25006783,0.008622561,-0.071750465,0.21565737,-0.002244944,0.004291581,-0.008674317,0.004484796,-0.008588668,0.01700161,0.001392129,0.011729345,-0.01404968,-0.017760584,0.084560903,-0.292068589,0.028771185,-0.14638185,0.377685569,-0.197385526,0.626488039,-1.622767495,-0.117532749,0.112634407,-0.092911053
bootstrap_11,-3.236867508,1.888579518,-3.000549697,5.463549814,-0.065668872,0.371022514,0.296391087,0.115529772,0.15155089,-0.30832785,0.066363857,-1.915711817,0.815922001,3.174214875,-3.020286671,-0.186165905,0.351457588,0.92289622,0.050981785,-0.099548464,-1.032342368,-0.13885156,-1.766088908,-0.013552448,1.874809667,10.48206299,0.047202831,-0.043311718,0.043538531,-0.078987789,0.160831475,-0.327490034,0.075676196,-0.145223787,0.284400883,-0.001236228,0.000612357,0.001003774,0.002496882,-0.002618949,0.002298134,0.033482509,-0.07412023,0.1746386,-0.017573607,0.161751128,-0.50658998,0.059309724,-0.202393513,0.489419506,0.014142947,-0.07527113,0.083519685,-0.21837773,0.334886959,-0.613186929
bootstrap_12,-2.275013684,-0.229387821,0.663722281,-1.140920455,-0.016292207,0.106403091,0.279575626,0.065175099,0.104788484,-0.334613575,-0.109486293,3.826867288,1.068192076,-0.294449466,0.772044357,-0.584957569,0.07264611,0.156208998,0.042827613,-0.067915777,4.466838633,-0.376902463,-1.284824435,0.015796521,2.834534845,14.60521277,-0.092502111,0.155668858,-0.234085603,0.009714957,-0.005374604,-0.006937115,-0.022178951,0.037847043,-0.067367346,-0.001424475,0.003598631,-0.007950745,0.002054707,-0.004650963,0.010102502,-0.118890987,0.316351797,-0.732844723,0.00313626,0.027807832,-0.149490404,0.047880064,-0.165333421,0.378071939,-0.033309775,0.155333385,-0.527331024,-0.361587099,0.697046148,-1.365011368
bootstrap_13,-2.424091594,0.407281126,-0.936524526,2.723390763,-0.176237897,0.221286155,0.183898972,0.144178348,0.11704935,-0.29574143,-0.320647526,-0.122902828,1.078121142,0.807306543,-0.880834946,-0.378821496,-0.208385135,0.189198072,-0.009122682,0.004222765,-1.518523338,2.398906567,-0.69088153,-0.024715141,-2.144988908,4.051393108,0.031741576,-0.175317286,0.434022362,-0.021905618,0.090284849,-0.244918324,0.026241125,-0.10956166,0.296988322,0.000444516,-0.002976628,0.008523653,-0.000468573,0.004188745,-0.012423755,0.06011893,-0.21793153,0.52064819,-0.090224445,0.37430879,-1.020611856,0.036665067,-0.169715861,0.421056403,0.121441413,-0.312601397,0.559887335,-0.059658392,-0.048166796,0.277286387
bootstrap_14,-2.368527333,-0.279834507,0.874166516,-1.838982728,-0.068344507,-0.141762465,0.200103799,-0.023189106,0.191639081,-0.022032071,0.055618208,3.708517427,0.854359771,-0.584880144,0.924714247,-0.29012312,-0.043819661,-0.126861983,0.010364213,-0.039150238,6.634793635,-0.240792533,-0.514245095,-0.04828702,1.067691815,-6.043274511,-0.100985535,0.242889145,-0.527678071,0.016655285,-0.022412928,0.029789278,-0.024334912,0.041109968,-0.070209634,-0.000301164,0.000177336,0.000103547,0.001045808,-0.001562043,0.002675714,-0.191750462,0.4433387,-0.883117263,0.007755148,-0.047404742,0.11282639,0.019421558,-0.092516545,0.240341738,0.026039565,-0.103997416,0.176896749,0.238454139,-0.808218827,1.952816057
bootstrap_15,-2.346798945,0.204209583,-0.370218905,1.37627074,0.04563738,0.03908164,0.003487447,0.019110751,0.141284068,-0.226221747,-0.21419486,2.482060438,0.838891766,0.366849115,-0.067298041,-0.390191022,0.06842782,-0.050180598,0.059714027,-0.122502071,2.350471224,-0.512184118,-1.252763411,-0.032769967,-0.188375679,6.369950465,-0.052031615,0.035012231,0.010397732,-0.00842048,0.045708812,-0.139488827,0.00204281,-0.037899222,0.13761674,-0.001697734,0.003502159,-0.006855663,0.003428247,-0.007356714,0.014791847,-0.078074284,0.216196984,-0.446972998,-0.00326419,0.0807842,-0.272302335,0.047999048,-0.18151468,0.436433999,0.051346002,-0.065786122,-0.017499986,-0.148851215,0.358857911,-0.786801511
bootstrap_16,-2.49203829,0.063083412,-0.101359529,0.725815724,-0.074368426,0.270486557,0.148486969,0.022359082,0.193197132,-0.289829716,0.010031208,3.79878289,0.802303173,0.522418457,-0.447113212,-0.025025555,-0.05769262,0.600326254,0.063306014,-0.096508254,3.322516326,2.174974491,-3.06506127,-0.029424975,3.66190591,-0.077326293,-0.075821179,0.011788466,0.152311224,-0.014026112,0.060302218,-0.164880031,0.013649547,-0.062097792,0.174434938,-0.001742039,0.003058083,-0.005762604,0.002607948,-0.004592114,0.008699187,-0.095531962,0.270935378,-0.641026302,-0.06090076,0.157971461,-0.437269908,0.096154613,-0.27869196,0.631269297,-0.044523785,0.162272591,-0.579307102,0.04830897,-0.248473096,0.670282559
bootstrap_17,-2.463298167,0.354000158,-0.794593128,2.207754789,-0.011892842,-0.090805177,0.055952094,-0.013367941,0.237726596,-0.386054403,-0.011011525,2.808696325,0.875871211,0.80991891,-0.558367804,-0.371999955,0.250133477,-0.18032579,0.010066631,-0.028852927,1.00969999,1.455153009,-1.729787369,-0.015513401,8.555751147,3.523496262,-0.072985822,0.189848076,-0.450851033,-0.020564094,0.069167474,-0.176920955,0.014198228,-0.046085756,0.117700852,-0.000326036,0.000337088,-0.000200666,0.000791174,-0.000953055,0.00099884,-0.03787698,0.119657231,-0.257287409,-0.051266645,0.208159256,-0.571613946,0.05722094,-0.18138775,0.413426234,-0.193638407,0.507329058,-1.256054138,-0.026708953,-0.173820279,0.570493592
bootstrap_18,-2.271668187,0.105324391,-0.032460327,0.381782353,-0.022934229,0.339995721,0.348571832,0.271436124,-0.017248524,-0.057059615,-0.096976115,3.335699721,0.883647505,0.474886934,-0.381377233,-0.371812751,0.425257124,0.042631478,0.00467763,-0.005067191,0.029491615,1.82852064,-1.418391837,0.001508079,2.664578962,-3.498538676,-0.088038535,0.235416228,-0.534285211,-0.009659698,0.030726885,-0.081843895,0.007425144,-0.016730048,0.0413235,-0.00011303,-0.000396412,0.001540155,2.84E-05,0.001427426,-0.004562894,0.00695279,-0.034329456,0.069785308,-0.05661268,0.20430912,-0.544435403,0.046028869,-0.13180379,0.292401292,-0.004872885,-0.035709933,-0.009791061,0.151474158,-0.535875998,1.297551872
bootstrap_19,-2.484746885,-0.18667429,0.584520936,-0.906454336,-0.04880882,0.010215504,0.141223323,0.072608864,-0.071994595,-0.077466287,0.021680249,-1.3124209,0.87032696,0.071679933,0.231169081,-0.429584585,-0.256609133,0.314359142,-0.019018142,0.020952307,0.105924932,0.996864116,-1.32453932,0.021507822,1.707621984,3.773098749,0.037803407,-0.118290421,0.285557668,-0.000955853,0.030135795,-0.098684697,-0.005069355,-0.021086543,0.083619796,0.000595926,-0.001827105,0.003456626,-0.000690974,0.001943209,-0.003130933,-0.001729802,0.022656228,-0.045931855,-0.043570136,0.19624314,-0.522093233,0.04877504,-0.186155195,0.460412121,0.008150374,-0.048744047,0.02226771,-0.049679161,-0.051470313,0.218005529
bootstrap_20,-2.404400783,-0.207891387,0.078862346,0.867976355,-0.160433237,0.299841056,0.08120885,0.108226048,0.116438668,-0.27170113,-0.114272094,1.740536983,1.026867215,-0.032170741,-0.216550979,-0.250774218,0.122481897,0.275810851,-0.009407284,-0.018892189,6.057630961,4.210717432,-1.587786318,-0.02324565,8.067526783,-6.01255792,-0.022859123,-0.114292553,0.422505664,0.000383074,0.042160323,-0.145994991,0.007216484,-0.061659381,0.191840169,0.000215517,-0.000715297,0.001369593,0.000516281,-0.001023773,0.003014339,-0.177118918,0.486442745,-1.101389791,-0.136551326,0.457543697,-1.137361173,0.056083148,-0.185373119,0.436365287,-0.160387086,0.377598757,-0.940697152,0.248134121,-0.938935736,2.31127351
