Model iteration,Intercept,clc_age_rcs_1_C,clc_age_rcs_2_C,clc_age_rcs_3_C,married_2_C,married_3_C,edudr04_1_C,edudr04_2_C,working_2_C,gendmhi_1_C,gen_025_2_C,gen_045_2_C,fmh_15_1_C,hwmdbmi_rcs_1_C,hwmdbmi_rcs_2_C,low_drink_score1_2_C,low_drink_score1_3_C,low_drink_score1_4_C,minperweek_rcs_1_C,minperweek_rcs_2_C,smoke_1_C,smoke_2_C,slp_11_C,totalfv_C,diabx_1_C,ckd_1_C,clc_age_rcs_1_by_gen_045_2_C,clc_age_rcs_2_by_gen_045_2_C,clc_age_rcs_3_by_gen_045_2_C,clc_age_rcs_1_by_hwmdbmi_rcs_1_C,clc_age_rcs_2_by_hwmdbmi_rcs_1_C,clc_age_rcs_3_by_hwmdbmi_rcs_1_C,clc_age_rcs_1_by_hwmdbmi_rcs_2_C,clc_age_rcs_2_by_hwmdbmi_rcs_2_C,clc_age_rcs_3_by_hwmdbmi_rcs_2_C,clc_age_rcs_1_by_minperweek_rcs_1_C,clc_age_rcs_2_by_minperweek_rcs_1_C,clc_age_rcs_3_by_minperweek_rcs_1_C,clc_age_rcs_1_by_minperweek_rcs_2_C,clc_age_rcs_2_by_minperweek_rcs_2_C,clc_age_rcs_3_by_minperweek_rcs_2_C,clc_age_rcs_1_by_smoke_1_C,clc_age_rcs_2_by_smoke_1_C,clc_age_rcs_3_by_smoke_1_C,clc_age_rcs_1_by_smoke_2_C,clc_age_rcs_2_by_smoke_2_C,clc_age_rcs_3_by_smoke_2_C,clc_age_rcs_1_by_slp_11_C,clc_age_rcs_2_by_slp_11_C,clc_age_rcs_3_by_slp_11_C,clc_age_rcs_1_by_diabx_1_C,clc_age_rcs_2_by_diabx_1_C,clc_age_rcs_3_by_diabx_1_C,clc_age_rcs_1_by_ckd_1_C,clc_age_rcs_2_by_ckd_1_C,clc_age_rcs_3_by_ckd_1_C
bootstrap_1,-2.01524514,0.535844942,-0.737648674,1.52510248,-0.006202617,0.320300502,0.095873015,0.231428298,-0.00497413,-0.213374507,0.004661507,0.420108558,0.94675706,0.316448259,-0.246946825,0.39518524,0.861484291,1.426428661,0.031059024,-0.061708717,1.777133397,1.159658148,1.069667447,-0.073019407,5.230386773,4.765148694,-0.00133201,-0.004899389,-0.019407804,-0.005005965,0.011105446,-0.029785718,0.005517042,-0.009409607,0.018433664,-0.000872218,0.000869959,-0.000561299,0.001703319,-0.002359782,0.003378403,-0.052749042,0.131437945,-0.281540135,-0.048279606,0.196358226,-0.485532753,-0.026020843,0.035260923,-0.060538952,-0.080186772,0.105671599,-0.273193548,-0.085859349,0.167674061,-0.408766725
bootstrap_2,-2.087497055,1.335242573,-2.189510809,4.219023893,0.279422341,0.399867066,0.065130625,0.502007199,-0.141014746,-0.368860467,-0.178504748,2.094311715,1.004032803,1.504916935,-1.438093863,0.006681811,0.02697596,0.999199885,-0.000117572,0.017609773,5.750345933,1.199783911,0.452376244,0.027869068,6.473126567,5.566370906,-0.035713412,0.013619508,-0.000377991,-0.039446579,0.081247541,-0.175156787,0.039182735,-0.077142792,0.157391729,0.000295701,-0.003166332,0.010298984,-0.000918289,0.005475286,-0.016880054,-0.131660162,0.130656409,-0.164794561,-0.027296632,-0.047126759,0.267111888,-0.010628334,-0.001174301,0.040813759,-0.091381088,0.074124523,-0.217238094,-0.150415463,0.406367552,-0.959088838
bootstrap_3,-2.10500674,0.787165924,-1.514907883,3.578320082,0.113261795,0.1126381,0.051081024,0.408351314,-0.123938783,-0.165122892,0.225418451,-0.792845985,0.86219417,0.791013395,-0.831748918,0.121616998,0.613855146,1.258105545,-0.030957803,0.043477112,0.690072778,-0.414953641,0.981005917,0.006799912,8.200379744,7.888306517,0.032929483,-0.096275777,0.214001562,-0.020086801,0.055254888,-0.144314991,0.02548094,-0.07260324,0.181759624,0.001090975,-0.004615372,0.012927536,-0.001499327,0.006264094,-0.017743485,-0.018601091,-0.040050263,0.215437952,0.006170831,-0.036504504,0.101166194,-0.025986096,0.050910181,-0.105438179,-0.157289951,0.27467402,-0.684138629,-0.192965866,0.435457419,-1.025265641
bootstrap_4,-2.221254372,0.203520464,-0.103228967,0.175431614,0.33735095,0.267855884,0.277517541,0.294353594,0.085586457,-0.203810361,-0.069890817,2.498023291,0.620277081,-0.199120543,0.329927511,0.409072594,1.125730966,1.528712089,-0.001897404,0.013503104,4.479093798,4.926408328,0.550362601,0.002260341,2.465156612,19.24667166,-0.065854138,0.147241799,-0.377847778,0.008335253,-0.016036542,0.028820654,-0.007564425,0.014800288,-0.042320375,7.01E-05,-0.001203617,0.00410732,-0.00042428,0.002588949,-0.008298015,-0.127913363,0.251307429,-0.538106819,-0.158290066,0.35358654,-0.755791398,-0.0147378,0.024434195,-0.038182596,0.035955914,-0.339530882,0.911426966,-0.501093982,1.041067562,-2.328916252
bootstrap_5,-2.072793102,0.844508423,-1.449956487,3.044442849,0.259499303,-0.122361779,0.294085449,0.149283535,-0.154478762,-0.164535871,-0.349526186,4.342166814,0.633967892,0.839838441,-0.823531843,0.138492049,0.271414173,1.260632097,-0.026417869,0.046004969,-2.850060394,1.241787304,0.860190133,-0.039260579,5.354059997,1.510239694,-0.113251073,0.203300593,-0.408841938,-0.02265626,0.056472775,-0.132712543,0.02586469,-0.067757381,0.153444232,0.000877555,-0.003863427,0.011470685,-0.001526538,0.00623795,-0.018302582,0.081767563,-0.280843063,0.776108073,-0.038054988,0.062924636,-0.087467712,-0.019887252,0.022063355,-0.036203835,-0.060640751,-0.056167047,0.202957571,0.007057042,-0.096905012,0.279276869
bootstrap_6,-2.033973051,0.015875148,1.346275329,-4.257618836,0.014405918,0.067375118,0.05605007,0.210161588,-0.127362019,-0.160886572,-0.196081078,5.240000221,0.856789347,-0.156804815,0.232883093,-0.037909631,0.576406235,0.560538821,-0.026294797,0.052357437,-0.196074721,2.583176795,1.089962744,0.002265618,7.065598266,2.93627967,-0.154011197,0.396683938,-0.961675189,0.014439355,-0.062283409,0.167437839,-0.01310177,0.057885962,-0.163645224,0.000727513,-0.002967555,0.009068988,-0.001462643,0.004915942,-0.014161766,0.015555945,-0.135063206,0.441652726,-0.087193285,0.215635191,-0.453400796,-0.026030504,0.019239775,0.002054964,-0.137803141,0.28885731,-0.756529156,-0.048859583,0.091912605,-0.186838605
bootstrap_7,-1.972458856,0.057822507,0.637737885,-2.059146497,-0.001433703,0.044880766,-0.061975091,0.159188062,-0.102905025,-0.390497269,-0.033270491,2.714867356,0.749465461,-0.184721987,0.237818145,-0.137984731,0.65912292,1.040483491,0.000444348,0.003626136,4.308052083,1.497071458,0.597004711,0.040387826,2.864863898,2.582589117,-0.060232212,0.077505802,-0.143454571,0.008950488,-0.028012576,0.073663976,-0.008045437,0.035489334,-0.111436664,2.80E-05,-0.00121014,0.004067833,-0.000153706,0.00191844,-0.006394058,-0.10240849,0.081767494,-0.02317649,-0.028132922,-0.023492729,0.150810276,-0.01424105,0.007093907,0.009151099,-0.013112133,0.018716839,-0.209240228,-0.051848753,0.131585364,-0.281554755
bootstrap_8,-2.083631774,0.4652775,-0.670681686,1.445367916,0.129081318,-0.012052102,-0.17726564,0.154458227,0.113892295,-0.053316846,-0.002681341,-2.372104419,0.792760122,0.116735169,-0.093869136,0.101215114,0.550662387,0.947050891,-0.004464427,-2.43E-05,-4.886955404,1.706299194,1.723044678,0.012936023,9.449902172,8.052644901,0.076226611,-0.185468898,0.445518567,0.00060431,-0.005348097,0.011032207,0.002527905,-0.002563992,-3.36E-05,6.95E-05,-0.001137812,0.004191885,4.94E-05,0.001257895,-0.005160364,0.14531115,-0.368923812,0.871686536,-0.053038106,0.093944474,-0.101874009,-0.05091826,0.121198223,-0.282544236,-0.19402682,0.349327306,-0.855543599,-0.184016481,0.39422131,-0.913556315
bootstrap_9,-1.980144646,0.99877018,-1.30730462,2.281373758,-0.049239953,0.259745881,0.023980875,0.111593801,0.057272174,-0.288070861,-0.083444577,-0.828316618,0.620189641,1.13505205,-1.125855058,0.117825999,0.656299503,0.698114093,0.002054898,0.004382212,2.007376813,-1.829290633,1.194699908,-0.003027655,7.106000477,9.921633936,0.027699264,-0.013101458,-0.055426401,-0.024801511,0.033527756,-0.057034673,0.025383986,-0.022522223,0.011880333,1.41E-05,-0.00119628,0.004333643,-0.000264527,0.00223013,-0.007360124,-0.032111801,-0.060271492,0.253177417,0.043400908,-0.079382196,0.201791265,-0.032320382,0.057920552,-0.113289781,-0.130395388,0.23852623,-0.628911581,-0.251846894,0.477862512,-0.921420663
bootstrap_10,-2.286804472,0.848838227,-1.879502535,4.369677869,0.134545609,0.062227529,0.014939413,0.343957234,-0.283115923,-0.202501635,-0.049356821,2.635292835,0.842711788,0.926308431,-0.777412171,-0.062999673,0.286740135,1.052705717,-0.009864903,0.013957722,-2.325233716,-2.135259994,0.237928538,-0.004298256,8.421777337,7.227835236,-0.059438301,0.087756358,-0.191748782,-0.025504826,0.076450296,-0.19460768,0.022842978,-0.059741508,0.135556931,0.000173003,-0.000685751,0.002317777,-0.000238019,0.000951897,-0.00343602,0.085494662,-0.362468602,1.058769606,0.064854629,-0.23660574,0.715445316,-0.006141287,-0.006519744,0.047666193,-0.156544258,0.206930659,-0.467629104,-0.15209996,0.206182101,-0.330594279
