"","ckd","clc_age","diabx","edudr04","fmh_15","gendmhi","gen_025","gen_045","hwmdbmi","low_drink_score1","married","minperweek","slp_11","smoke","totalfv","whr","working"
"ckd",1,0.305919753464201,0.142639093859244,0.128395024383036,0.0417406663804878,0.00235793564909527,-0.0528190955020731,-0.0215414211915019,0.0787865690731584,-0.0621187188001843,0.012746362767524,-0.10895017925469,0.0625263163734742,0.000935612111598961,-0.0395052928552908,0.130491003572516,0.191187017585582
"clc_age",0.305919753464201,1,0.215468996112066,0.225406007017496,0.121756531513483,-0.0293744548993466,-0.132991230537521,-0.0893002081240976,0.116387181257581,-0.0829879061086806,-0.0935583469343536,-0.183605956193122,0.00430531010187757,-0.00565628190017487,0.0124928607159168,0.269767383790799,0.428242397631737
"diabx",0.142639093859244,0.215468996112066,1,0.14868784094971,0.0543098792160173,0.0577265509171578,0.0129849801231212,0.00953079565479685,0.227165281467112,-0.128226789487142,0.00763353883900835,-0.137816832652196,0.0210936893620623,0.0143588182393907,-0.0439746016503559,0.292996393680365,0.162983112306992
"edudr04",0.128395024383036,0.225406007017496,0.14868784094971,1,0.00180316110792432,0.0766577198465325,-0.0443339385845778,0.0314917161690495,0.124831955332854,-0.113676328645722,0.0494479927030569,-0.153217956009605,0.00587735043055017,0.145997816238799,-0.10622602631811,0.19491929023749,0.26623677127189
"fmh_15",0.0417406663804878,0.121756531513483,0.0543098792160173,0.00180316110792432,1,0.0192571379071979,0.0288915906178814,-0.000527924911811579,0.0796542254307956,-0.0154927843191738,0.0236417878479293,-0.0181261352584755,-0.0323955998634744,-0.000277717078259148,-0.0150867929201572,0.0979899107694487,0.0129593593422773
"gendmhi",0.00235793564909527,-0.0293744548993466,0.0577265509171578,0.0766577198465325,0.0192571379071979,1,0.238649226182312,0.130262173433526,0.0617931570431972,-0.00257178428330493,0.0943146410554287,-0.0398671608278964,-0.0387370938897882,0.0828269832589615,-0.111233390661728,0.0771175596609877,0.0575370985793765
"gen_025",-0.0528190955020731,-0.132991230537521,0.0129849801231212,-0.0443339385845778,0.0288915906178814,0.238649226182312,1,0.0762987772253656,0.0272838816722004,0.0430755867391615,0.055461177224666,0.002363192636238,-0.131653868790982,0.0717986153771887,-0.0326836328986111,0.00831660241698029,-0.114245428156214
"gen_045",-0.0215414211915019,-0.0893002081240976,0.00953079565479685,0.0314917161690495,-0.000527924911811579,0.130262173433526,0.0762987772253656,1,0.0114629904221691,0.0224494059925549,0.069239441349259,-0.0352204254255386,-0.0457533210399812,0.0879769596795069,-0.0864242634545967,0.00132140514853488,-0.00632681456668812
"hwmdbmi",0.0787865690731584,0.116387181257581,0.227165281467112,0.124831955332854,0.0796542254307956,0.0617931570431972,0.0272838816722004,0.0114629904221691,1,-0.0688571675135044,0.0170866398130201,-0.22383439474698,-0.0265402883472823,0.049103804600179,-0.074744776986324,0.905087933141818,0.0837665973809086
"low_drink_score1",-0.0621187188001843,-0.0829879061086806,-0.128226789487142,-0.113676328645722,-0.0154927843191738,-0.00257178428330493,0.0430755867391615,0.0224494059925549,-0.0688571675135044,1,0.0515543962033394,0.0722561921132642,0.00598080259510212,0.209900737438838,0.00489754696669873,-0.103215766439178,-0.133744570328384
"married",0.012746362767524,-0.0935583469343536,0.00763353883900835,0.0494479927030569,0.0236417878479293,0.0943146410554287,0.055461177224666,0.069239441349259,0.0170866398130201,0.0515543962033394,1,0.0419173245683047,-0.0148937162075381,0.148582009627307,-0.0915436992095257,0.00469653909812777,0.0215335812183763
"minperweek",-0.10895017925469,-0.183605956193122,-0.137816832652196,-0.153217956009605,-0.0181261352584755,-0.0398671608278964,0.002363192636238,-0.0352204254255386,-0.22383439474698,0.0722561921132642,0.0419173245683047,1,-0.0116447820235904,-0.0765116336711875,0.0722732226270073,-0.269102203609837,-0.164390448176898
"slp_11",0.0625263163734742,0.00430531010187757,0.0210936893620623,0.00587735043055017,-0.0323955998634744,-0.0387370938897882,-0.131653868790982,-0.0457533210399812,-0.0265402883472823,0.00598080259510212,-0.0148937162075381,-0.0116447820235904,1,-0.00591106833399148,0.0209897750143403,-0.0283073688046994,0.0905963754731742
"smoke",0.000935612111598961,-0.00565628190017487,0.0143588182393907,0.145997816238799,-0.000277717078259148,0.0828269832589615,0.0717986153771887,0.0879769596795069,0.049103804600179,0.209900737438838,0.148582009627307,-0.0765116336711875,-0.00591106833399148,1,-0.0830856681837511,0.0727087895155777,0.0346781684972828
"totalfv",-0.0395052928552908,0.0124928607159168,-0.0439746016503559,-0.10622602631811,-0.0150867929201572,-0.111233390661728,-0.0326836328986111,-0.0864242634545967,-0.074744776986324,0.00489754696669873,-0.0915436992095257,0.0722732226270073,0.0209897750143403,-0.0830856681837511,1,-0.109142847947179,-0.0298480193508735
"whr",0.130491003572516,0.269767383790799,0.292996393680365,0.19491929023749,0.0979899107694487,0.0771175596609877,0.00831660241698029,0.00132140514853488,0.905087933141818,-0.103215766439178,0.00469653909812777,-0.269102203609837,-0.0283073688046994,0.0727087895155777,-0.109142847947179,1,0.184383965139139
"working",0.191187017585582,0.428242397631737,0.162983112306992,0.26623677127189,0.0129593593422773,0.0575370985793765,-0.114245428156214,-0.00632681456668812,0.0837665973809086,-0.133744570328384,0.0215335812183763,-0.164390448176898,0.0905963754731742,0.0346781684972828,-0.0298480193508735,0.184383965139139,1
