variable,coefficient
Intercept,-2.327440614
clc_age_rcs_1_C,0.003859081
clc_age_rcs_2_C,0.179718757
clc_age_rcs_3_C,-0.130706805
married_2_C,0.019019769
married_3_C,0.101933808
edudr04_1_C,0.142132526
edudr04_2_C,0.106132074
working_2_C,0.100371978
gendmhi_1_C,-0.165090454
gen_025_2_C,-0.024455701
gen_045_2_C,0.836853622
fmh_15_1_C,0.892403039
hwmdbmi_rcs_1_C,0.225767213
hwmdbmi_rcs_2_C,0.015627609
low_drink_score1_2_C,-0.230831958
low_drink_score1_3_C,0.306115634
low_drink_score1_4_C,0.368089047
minperweek_rcs_1_C,0.016143898
minperweek_rcs_2_C,-0.035752916
smoke_1_C,1.819165382
smoke_2_C,0.920389654
slp_11_C,-1.331753838
totalfv_C,-0.024468502
diabx_1_C,1.066921003
ckd_1_C,5.106698493
clc_age_rcs_1_by_gen_045_2_C,-0.015929847
clc_age_rcs_2_by_gen_045_2_C,0.013528891
clc_age_rcs_3_by_gen_045_2_C,0.000928856
clc_age_rcs_1_by_hwmdbmi_rcs_1_C,-0.004544447
clc_age_rcs_2_by_hwmdbmi_rcs_1_C,0.027980957
clc_age_rcs_3_by_hwmdbmi_rcs_1_C,-0.083259879
clc_age_rcs_1_by_hwmdbmi_rcs_2_C,-0.000706525
clc_age_rcs_2_by_hwmdbmi_rcs_2_C,-0.014938772
clc_age_rcs_3_by_hwmdbmi_rcs_2_C,0.055094881
clc_age_rcs_1_by_minperweek_rcs_1_C,-0.000447063
clc_age_rcs_2_by_minperweek_rcs_1_C,0.000207842
clc_age_rcs_3_by_minperweek_rcs_1_C,0.000467554
clc_age_rcs_1_by_minperweek_rcs_2_C,0.000943675
clc_age_rcs_2_by_minperweek_rcs_2_C,-0.000968508
clc_age_rcs_3_by_minperweek_rcs_2_C,0.000820402
clc_age_rcs_1_by_smoke_1_C,-0.051530597
clc_age_rcs_2_by_smoke_1_C,0.129882254
clc_age_rcs_3_by_smoke_1_C,-0.274679026
clc_age_rcs_1_by_smoke_2_C,-0.033225161
clc_age_rcs_2_by_smoke_2_C,0.13967307
clc_age_rcs_3_by_smoke_2_C,-0.417416334
clc_age_rcs_1_by_slp_11_C,0.045685775
clc_age_rcs_2_by_slp_11_C,-0.15311149
clc_age_rcs_3_by_slp_11_C,0.360599236
clc_age_rcs_1_by_diabx_1_C,0.017223791
clc_age_rcs_2_by_diabx_1_C,0.003858444
clc_age_rcs_3_by_diabx_1_C,-0.158014951
clc_age_rcs_1_by_ckd_1_C,-0.087906113
clc_age_rcs_2_by_ckd_1_C,0.054376039
clc_age_rcs_3_by_ckd_1_C,0.002674929
