origVariable,centerValue,centeredVariable
clc_age_rcs_1,46.14509835,clc_age_rcs_1_C
clc_age_rcs_2,10.41999141,clc_age_rcs_2_C
clc_age_rcs_3,2.012829724,clc_age_rcs_3_C
married_2,0.085947731,married_2_C
married_3,0.248462597,married_3_C
edudr04_1,0.217177205,edudr04_1_C
edudr04_2,0.125063569,edudr04_2_C
working_2,0.258671725,working_2_C
gendmhi_1,0.066840869,gendmhi_1_C
gen_025_2,0.228373362,gen_025_2_C
gen_045_2,0.349876734,gen_045_2_C
fmh_15_1,0.524803077,fmh_15_1_C
hwmdbmi_rcs_1,27.66777298,hwmdbmi_rcs_1_C
hwmdbmi_rcs_2,2.529042313,hwmdbmi_rcs_2_C
low_drink_score1_2,0.777985051,low_drink_score1_2_C
low_drink_score1_3,0.045626893,low_drink_score1_3_C
low_drink_score1_4,0.072198781,low_drink_score1_4_C
minperweek_rcs_1,147.6496834,minperweek_rcs_1_C
minperweek_rcs_2,53.84564875,minperweek_rcs_2_C
smoke_1,0.308696985,smoke_1_C
smoke_2,0.227724746,smoke_2_C
slp_11,7.015035776,slp_11_C
totalfv,3.280091672,totalfv_C
diabx_1,0.104918358,diabx_1_C
ckd_1,0.044784256,ckd_1_C
clc_age_rcs_1_by_gen_045_2,15.14081401,clc_age_rcs_1_by_gen_045_2_C
clc_age_rcs_2_by_gen_045_2,2.855721362,clc_age_rcs_2_by_gen_045_2_C
clc_age_rcs_3_by_gen_045_2,0.518839488,clc_age_rcs_3_by_gen_045_2_C
clc_age_rcs_1_by_hwmdbmi_rcs_1,1289.586153,clc_age_rcs_1_by_hwmdbmi_rcs_1_C
clc_age_rcs_2_by_hwmdbmi_rcs_1,294.9641651,clc_age_rcs_2_by_hwmdbmi_rcs_1_C
clc_age_rcs_3_by_hwmdbmi_rcs_1,56.95945766,clc_age_rcs_3_by_hwmdbmi_rcs_1_C
clc_age_rcs_1_by_hwmdbmi_rcs_2,121.6744825,clc_age_rcs_1_by_hwmdbmi_rcs_2_C
clc_age_rcs_2_by_hwmdbmi_rcs_2,28.59310879,clc_age_rcs_2_by_hwmdbmi_rcs_2_C
clc_age_rcs_3_by_hwmdbmi_rcs_2,5.458573727,clc_age_rcs_3_by_hwmdbmi_rcs_2_C
clc_age_rcs_1_by_minperweek_rcs_1,6383.426259,clc_age_rcs_1_by_minperweek_rcs_1_C
clc_age_rcs_2_by_minperweek_rcs_1,1151.285813,clc_age_rcs_2_by_minperweek_rcs_1_C
clc_age_rcs_3_by_minperweek_rcs_1,200.1725572,clc_age_rcs_3_by_minperweek_rcs_1_C
clc_age_rcs_1_by_minperweek_rcs_2,2295.79088,clc_age_rcs_1_by_minperweek_rcs_2_C
clc_age_rcs_2_by_minperweek_rcs_2,396.7168969,clc_age_rcs_2_by_minperweek_rcs_2_C
clc_age_rcs_3_by_minperweek_rcs_2,67.65261735,clc_age_rcs_3_by_minperweek_rcs_2_C
clc_age_rcs_1_by_smoke_1,16.42423635,clc_age_rcs_1_by_smoke_1_C
clc_age_rcs_2_by_smoke_1,4.962600721,clc_age_rcs_2_by_smoke_1_C
clc_age_rcs_3_by_smoke_1,1.036863773,clc_age_rcs_3_by_smoke_1_C
clc_age_rcs_1_by_smoke_2,9.689177061,clc_age_rcs_1_by_smoke_2_C
clc_age_rcs_2_by_smoke_2,1.65996114,clc_age_rcs_2_by_smoke_2_C
clc_age_rcs_3_by_smoke_2,0.282951234,clc_age_rcs_3_by_smoke_2_C
clc_age_rcs_1_by_slp_11,323.9788677,clc_age_rcs_1_by_slp_11_C
clc_age_rcs_2_by_slp_11,74.51391132,clc_age_rcs_2_by_slp_11_C
clc_age_rcs_3_by_slp_11,14.59326186,clc_age_rcs_3_by_slp_11_C
clc_age_rcs_1_by_diabx_1,6.145555691,clc_age_rcs_1_by_diabx_1_C
clc_age_rcs_2_by_diabx_1,2.19318601,clc_age_rcs_2_by_diabx_1_C
clc_age_rcs_3_by_diabx_1,0.472921201,clc_age_rcs_3_by_diabx_1_C
clc_age_rcs_1_by_ckd_1,2.811431457,clc_age_rcs_1_by_ckd_1_C
clc_age_rcs_2_by_ckd_1,1.26078209,clc_age_rcs_2_by_ckd_1_C
clc_age_rcs_3_by_ckd_1,0.307342769,clc_age_rcs_3_by_ckd_1_C
