variable,coefficient
Intercept,-2.03938833
clc_age_rcs_1_C,0.831388368
clc_age_rcs_2_C,-1.266023104
clc_age_rcs_3_C,2.435884081
married_2_C,0.011753056
married_3_C,0.039808873
edudr04_1_C,0.037040512
edudr04_2_C,0.346332376
working_2_C,-0.13466716
gendmhi_1_C,-0.077297363
gen_025_2_C,-0.068451241
gen_045_2_C,2.416491771
fmh_15_1_C,0.811156601
hwmdbmi_rcs_1_C,0.870223719
hwmdbmi_rcs_2_C,-0.844962018
low_drink_score1_2_C,0.18512661
low_drink_score1_3_C,0.601096708
low_drink_score1_4_C,1.25731058
minperweek_rcs_1_C,-0.008612277
minperweek_rcs_2_C,0.013763409
smoke_1_C,1.045587243
smoke_2_C,-1.118775738
slp_11_C,0.763936189
totalfv_C,-0.00108793
diabx_1_C,6.03482037
ckd_1_C,7.628826031
clc_age_rcs_1_by_gen_045_2_C,-0.054972746
clc_age_rcs_2_by_gen_045_2_C,0.101922279
clc_age_rcs_3_by_gen_045_2_C,-0.238999574
clc_age_rcs_1_by_hwmdbmi_rcs_1_C,-0.02139886
clc_age_rcs_2_by_hwmdbmi_rcs_1_C,0.045712387
clc_age_rcs_3_by_hwmdbmi_rcs_1_C,-0.101684598
clc_age_rcs_1_by_hwmdbmi_rcs_2_C,0.023698803
clc_age_rcs_2_by_hwmdbmi_rcs_2_C,-0.050398253
clc_age_rcs_3_by_hwmdbmi_rcs_2_C,0.103656052
clc_age_rcs_1_by_minperweek_rcs_1_C,0.000353785
clc_age_rcs_2_by_minperweek_rcs_1_C,-0.002557437
clc_age_rcs_3_by_minperweek_rcs_1_C,0.008213978
clc_age_rcs_1_by_minperweek_rcs_2_C,-0.000556
clc_age_rcs_2_by_minperweek_rcs_2_C,0.0036823
clc_age_rcs_3_by_minperweek_rcs_2_C,-0.01185042
clc_age_rcs_1_by_smoke_1_C,-0.017572272
clc_age_rcs_2_by_smoke_1_C,-0.062937645
clc_age_rcs_3_by_smoke_1_C,0.261326278
clc_age_rcs_1_by_smoke_2_C,0.029196794
clc_age_rcs_2_by_smoke_2_C,-0.108598324
clc_age_rcs_3_by_smoke_2_C,0.351105878
clc_age_rcs_1_by_slp_11_C,-0.019244631
clc_age_rcs_2_by_slp_11_C,0.023972894
clc_age_rcs_3_by_slp_11_C,-0.032741755
clc_age_rcs_1_by_diabx_1_C,-0.093363163
clc_age_rcs_2_by_diabx_1_C,0.103215272
clc_age_rcs_3_by_diabx_1_C,-0.260382646
clc_age_rcs_1_by_ckd_1_C,-0.18195042
clc_age_rcs_2_by_ckd_1_C,0.386112756
clc_age_rcs_3_by_ckd_1_C,-0.853806739
