variable,dummyVariable,typeEnd,databaseStart,variableStart,typeStart,recEnd,numValidCat,catLabel,catLabelLong,units,recStart,catStartLabel,variableStartShortLabel,variableStartLabel,notes
clc_age,N/A,cont,limesurvey,limesurvey::age,cont,copy,N/A,N/A,N/A,years,"[20, 79]",N/A,Age,Age,
clc_age,N/A,cont,limesurvey,limesurvey::age,cont,NA::b,N/A,N/A,N/A,years,else,N/A,Age,Age,
married,married_1,cat,limesurvey,limesurvey::mar,cat,1,3,Married or common-law,Married or common-law,N/A,1,Married or common-law,Marital status,Marital status (3 groups),
married,married_2,cat,limesurvey,limesurvey::mar,cat,2,3,"Widowed, separated, or divorced","Widowed, separated, or divorced",N/A,2,"Widowed, separated, or divorced",Marital status,Marital status (3 groups),
married,married_3,cat,limesurvey,limesurvey::mar,cat,3,3,Single,Single and never married,N/A,3,Single and never married,Marital status,Marital status (3 groups),
married,married_NA::b,cat,limesurvey,limesurvey::mar,cat,NA::b,3,missing,missing,N/A,else,N/A,Marital status,Marital status (3 groups),
edudr04,edudr04_1,cat,limesurvey,limesurvey::edu,cat,1,3,No high school,No high school,N/A,1,Less than secondary school graduation,Highest education level,"Highest level of education - respondent, 4 levels - (D)",
edudr04,edudr04_2,cat,limesurvey,limesurvey::edu,cat,2,3,Secondary,Secondary,N/A,2,Secondary school graduation,Highest education level,"Highest level of education - respondent, 4 levels - (D)",
edudr04,edudr04_3,cat,limesurvey,limesurvey::edu,cat,3,3,Post-secondary,Post-secondary,N/A,3,Post-secondary graduation,Highest education level,"Highest level of education - respondent, 4 levels - (D)",
edudr04,edudr04_NA::b,cat,limesurvey,limesurvey::edu,cat,NA::b,3,missing,missing,N/A,else,N/A,Highest education level,"Highest level of education - respondent, 4 levels - (D)",
working,working_1,cat,limesurvey,limesurvey::work,N/A,1,2,Has a job,Has a job,N/A,1,Has a job,Working status,Working status,
working,working_2,cat,limesurvey,limesurvey::work,N/A,2,2,Does not have job,Does not have job,N/A,2,Does not have job,Working status,Working status,
working,working_NA::b,cat,limesurvey,limesurvey::work,N/A,NA::b,2,missing,missing,N/A,else,missing,Working status,Working status,
