percentile,predicted_risk
1,0.000615267
2,0.001193323
3,0.001885135
4,0.002555305
5,0.003209965
6,0.004098495
7,0.004854515
8,0.005700598
9,0.006602345
10,0.007425039
11,0.008379552
12,0.009281736
13,0.010322232
14,0.011189552
15,0.012408881
16,0.013349744
17,0.014372714
18,0.015463566
19,0.016642407
20,0.017913073
21,0.019114983
22,0.020357852
23,0.021924384
24,0.02345466
25,0.024697788
26,0.026413535
27,0.028153436
28,0.030246481
29,0.032030725
30,0.033816127
31,0.035622216
32,0.037893703
33,0.040294426
34,0.042499934
35,0.045309916
36,0.047708633
37,0.050204173
38,0.05345816
39,0.0569615
40,0.060587351
41,0.064200069
42,0.067893817
43,0.071888677
44,0.076209167
45,0.081857839
46,0.087102033
47,0.093623829
48,0.099538238
49,0.104593377
50,0.110841198
51,0.116304081
52,0.122764922
53,0.129761328
54,0.138044655
55,0.146503996
56,0.155445135
57,0.163730501
58,0.17497893
59,0.185133337
60,0.196609933
61,0.208262525
62,0.219958107
63,0.23208304
64,0.247122322
65,0.260047168
66,0.275084003
67,0.289806279
68,0.302222453
69,0.316954978
70,0.333407838
71,0.35111839
72,0.365915578
73,0.385178866
74,0.401650038
75,0.418773681
76,0.438821763
77,0.456563407
78,0.473493125
79,0.492493827
80,0.511774208
81,0.529718577
82,0.547731635
83,0.567797186
84,0.590739172
85,0.610248448
86,0.628083391
87,0.648828921
88,0.669854481
89,0.690595179
90,0.710737009
91,0.736052697
92,0.757669752
93,0.776539192
94,0.801733832
95,0.82447825
96,0.845445639
97,0.877045232
98,0.900944481
99,0.927077277
100,0.981971318
