percentile,predicted_risk
1,0.000542676
2,0.001080619
3,0.001732398
4,0.002564056
5,0.003791973
6,0.005094369
7,0.006352628
8,0.007516184
9,0.009250304
10,0.010707368
11,0.012514674
12,0.014229834
13,0.016038995
14,0.017784366
15,0.019637758
16,0.021765193
17,0.02402239
18,0.02593947
19,0.027917483
20,0.030330681
21,0.032345811
22,0.034723092
23,0.037451636
24,0.039693062
25,0.042987008
26,0.045562941
27,0.048689747
28,0.051240959
29,0.05387476
30,0.056822392
31,0.060058154
32,0.063350708
33,0.066249658
34,0.070460965
35,0.073837593
36,0.077683143
37,0.08146681
38,0.085849384
39,0.090152013
40,0.09478469
41,0.09860334
42,0.102685006
43,0.10797229
44,0.112979159
45,0.119238421
46,0.125656754
47,0.131938652
48,0.139303975
49,0.145109466
50,0.151529386
51,0.158372813
52,0.16588103
53,0.173689628
54,0.181674246
55,0.191448458
56,0.200153486
57,0.210832778
58,0.220658613
59,0.231482687
60,0.243833079
61,0.254437343
62,0.267543886
63,0.280531433
64,0.294863461
65,0.309105437
66,0.323309855
67,0.338048182
68,0.352600338
69,0.368524653
70,0.383853496
71,0.401783964
72,0.421751191
73,0.436087045
74,0.448983928
75,0.468863958
76,0.487530798
77,0.504755944
78,0.522651905
79,0.540150671
80,0.555194162
81,0.575532031
82,0.593539526
83,0.61338506
84,0.631302128
85,0.648514307
86,0.666017519
87,0.685427344
88,0.702919516
89,0.720834962
90,0.738235324
91,0.757044229
92,0.777628555
93,0.800434639
94,0.821409972
95,0.839069919
96,0.859825824
97,0.884596854
98,0.909802006
99,0.9360221
100,0.980002761
