age_group_5yr,mean_pred,sd_pred,min_pred,max_pred,p05_pred,p10_pred,p20_pred,p25_pred,p30_pred,p40_pred,p50_pred,p60_pred,p75_pred,p80_pred,p90_pred,p95_pred
"[20,25)",0.007245817,0.042363837,1.91E-05,0.906973275,0.000219596,0.000409394,0.000683622,0.000891521,0.001087452,0.001510596,0.002117391,0.002860471,0.005177506,0.007319114,0.013118599,0.024940297
"[25,30)",0.01149071,0.018343825,0.000125638,0.226311284,0.001116307,0.001620059,0.002635042,0.00312166,0.003701243,0.00459595,0.005875525,0.007871121,0.012173181,0.015090011,0.026562631,0.039681919
"[30,35)",0.023839539,0.038007215,0.000343232,0.577318725,0.004241005,0.005289055,0.007272926,0.008372423,0.009497385,0.012027313,0.014569083,0.017643558,0.024242854,0.028380621,0.046446037,0.068866054
"[35,40)",0.048523231,0.068698076,0.002664705,0.707748818,0.008850648,0.011149031,0.015056965,0.017026487,0.018945444,0.023596223,0.028626438,0.035332001,0.05107182,0.061502554,0.093364911,0.138117849
"[40,45)",0.085839263,0.090990693,0.004728681,0.73966206,0.017851225,0.022193401,0.031255433,0.034691998,0.038280229,0.047707743,0.057965185,0.070692219,0.101113623,0.116875095,0.172649061,0.240901898
"[45,50)",0.149893386,0.141644603,0.012411499,0.916036407,0.032364054,0.040526393,0.052051373,0.059974429,0.070024213,0.088879699,0.109008945,0.126679563,0.177506081,0.203838657,0.304101322,0.473586911
"[50,55)",0.243539055,0.198258311,0.027906173,0.941414952,0.049142952,0.066532036,0.096325654,0.107680252,0.121759504,0.148819097,0.182353939,0.225905933,0.303237854,0.341757078,0.519797862,0.735049509
"[55,60)",0.340948533,0.226233255,0.039681956,0.974278387,0.07383029,0.096394925,0.139129944,0.163933542,0.182823053,0.236541191,0.283684098,0.347514055,0.459455832,0.52629009,0.696646663,0.822765258
"[60,65)",0.430762744,0.230831432,0.051826517,0.974773158,0.119683655,0.156016534,0.217411126,0.244071165,0.269764556,0.323141292,0.391250079,0.458094219,0.59324851,0.638419481,0.785148979,0.880407192
"[65,70)",0.531536631,0.217154426,0.084949568,0.980697195,0.185933626,0.251787648,0.32898603,0.362902018,0.396519601,0.4585653,0.519303044,0.591846316,0.69565973,0.742302521,0.836543466,0.898376984
"[70,75)",0.610626329,0.192529998,0.160138056,0.981971318,0.291706774,0.337335629,0.421917083,0.468119266,0.493892674,0.563559347,0.620389107,0.671798448,0.767628203,0.795171988,0.865076653,0.901891466
"[75,80)",0.714307077,0.158940899,0.187614893,0.964786281,0.437798768,0.484430432,0.561487311,0.607855021,0.647931381,0.695711437,0.736619303,0.778772401,0.838521035,0.860275306,0.910897594,0.931970729
