percentile,predicted_risk
1,0.001134984
2,0.002108044
3,0.00330274
4,0.004627381
5,0.006598736
6,0.008251296
7,0.009862708
8,0.011830275
9,0.013895539
10,0.015730513
11,0.017542197
12,0.01941175
13,0.021404755
14,0.023563118
15,0.025772875
16,0.027966334
17,0.030337073
18,0.03234866
19,0.034782447
20,0.036904958
21,0.038980557
22,0.041646053
23,0.044532018
24,0.047262918
25,0.049721617
26,0.052882261
27,0.055666926
28,0.058419771
29,0.06119497
30,0.063991282
31,0.067150835
32,0.07095772
33,0.074105864
34,0.078135226
35,0.081869681
36,0.085394477
37,0.089447212
38,0.093595148
39,0.098559414
40,0.103060952
41,0.108520544
42,0.11449746
43,0.119185894
44,0.125205972
45,0.130914902
46,0.136840109
47,0.142491104
48,0.150121502
49,0.157523665
50,0.164785512
51,0.172851326
52,0.180586205
53,0.189421778
54,0.198344838
55,0.206707494
56,0.217557721
57,0.229178471
58,0.241127888
59,0.25235674
60,0.267048791
61,0.278841281
62,0.290163049
63,0.303762669
64,0.315933709
65,0.330654972
66,0.344568733
67,0.359115525
68,0.374388681
69,0.389050987
70,0.403101116
71,0.418564354
72,0.431941369
73,0.448792152
74,0.465821456
75,0.480091849
76,0.495291569
77,0.509119188
78,0.524568755
79,0.538304656
80,0.555360336
81,0.572394807
82,0.589499722
83,0.605122896
84,0.620107843
85,0.635571958
86,0.651813804
87,0.66502538
88,0.678570468
89,0.694841306
90,0.710705452
91,0.727934727
92,0.745752146
93,0.760533928
94,0.780590741
95,0.803142331
96,0.823726676
97,0.843790988
98,0.860201525
99,0.876436669
100,0.964805495
