Model iteration,Intercept,clc_age_rcs_1_C,clc_age_rcs_2_C,clc_age_rcs_3_C,fmh_15_1_C,hwmdbmi_rcs_1_C,hwmdbmi_rcs_2_C,diabx_1_C,clc_age_rcs_1_by_hwmdbmi_rcs_1_C,clc_age_rcs_2_by_hwmdbmi_rcs_1_C,clc_age_rcs_3_by_hwmdbmi_rcs_1_C,clc_age_rcs_1_by_hwmdbmi_rcs_2_C,clc_age_rcs_2_by_hwmdbmi_rcs_2_C,clc_age_rcs_3_by_hwmdbmi_rcs_2_C,clc_age_rcs_1_by_diabx_1_C,clc_age_rcs_2_by_diabx_1_C,clc_age_rcs_3_by_diabx_1_C
bootstrap_1,-2.289428183,0.412775257,-0.500616135,0.559543713,0.843737101,0.399492124,-0.21715474,10.35128987,-0.008929273,0.012446201,-0.007801185,0.004679678,0.004634597,-0.033436014,-0.25211016,0.70878063,-1.720567091
bootstrap_2,-2.170561746,0.10512162,-0.614060445,2.198663122,0.913251012,0.027765901,0.222202413,0.897893164,0.001482741,0.022308304,-0.085403485,-0.005509369,-0.020430291,0.092380324,0.019774962,-0.019429315,-0.078841869
bootstrap_3,-2.141357676,0.047441229,-0.138911478,0.814041724,1.06634642,-0.022681229,0.189762418,2.303082422,0.004512216,-0.000648352,-0.018869713,-0.00680394,0.003167094,0.01853446,-0.012430567,0.059774427,-0.284790982
bootstrap_4,-2.222659751,-0.316595108,1.015744834,-2.202024333,0.914155877,-0.565059548,0.886968181,3.979867736,0.019770262,-0.04941567,0.108734989,-0.028008664,0.08025391,-0.191107462,-0.061524049,0.167306651,-0.489064728
bootstrap_5,-2.166009789,-0.317420931,0.879292444,-1.680670962,0.913302314,-0.545182853,0.981805404,6.173702192,0.019034664,-0.039563779,0.07498538,-0.029995287,0.071829539,-0.151158302,-0.121497884,0.252323528,-0.579755514
bootstrap_6,-2.337054219,0.751466151,-1.57437571,3.542681119,0.923553075,1.011955392,-0.98645449,3.658581034,-0.024728972,0.060977957,-0.138821445,0.026295839,-0.068034345,0.156361203,-0.076743601,0.288340824,-0.750872322
bootstrap_7,-2.282488758,-0.343091934,0.653721723,-0.767458299,0.914373992,-0.678048718,1.125075069,3.018388859,0.021602211,-0.034407025,0.047883668,-0.033125647,0.068213351,-0.126384411,-0.032074784,0.187835221,-0.636634549
bootstrap_8,-2.398784824,-0.13305205,1.064023379,-2.82165717,1.10389571,-0.306109011,0.723401211,5.409131228,0.014362427,-0.054677447,0.139101401,-0.027428325,0.104346022,-0.262056765,-0.103704761,0.299351991,-0.803268639
bootstrap_9,-2.174919776,-0.034363518,-0.013573262,0.778152197,0.946215874,-0.023523351,0.155164853,1.857919554,0.006217879,-0.001908161,-0.025259398,-0.008034409,0.006936809,0.014628426,-0.013550465,0.119435488,-0.418535496
bootstrap_10,-2.211953516,-0.022161072,0.041791785,0.017838073,0.881018006,-0.293663611,0.456964278,-5.127386791,0.009276157,-0.010929701,0.017721131,-0.013008775,0.023789714,-0.047485979,0.181690109,-0.354571958,0.568803579
bootstrap_11,-2.395665537,1.263251101,-3.223116898,7.506776013,0.704670212,1.650428156,-1.486995146,-4.60249475,-0.043843568,0.122989132,-0.287917709,0.040152478,-0.10977823,0.255781045,0.17316926,-0.27487027,0.312038483
bootstrap_12,-2.224757425,0.034801942,0.127078914,-0.150010724,1.053418167,-0.101618616,0.428939086,3.65788372,0.005954939,-0.013707095,0.025755865,-0.01346263,0.03900032,-0.089356,-0.07295782,0.291300368,-0.818044556
bootstrap_13,-2.185434358,0.378966867,-0.89964301,2.102380578,0.82612276,0.462334226,-0.356565038,-1.621831769,-0.009888012,0.032835647,-0.07791033,0.007121437,-0.016893849,0.035404832,0.089794033,-0.151120177,0.192589033
bootstrap_14,-2.439395723,0.239637393,-0.821256646,2.406250538,0.710177197,0.107452234,0.37769131,-1.908805307,0.000292776,0.019244813,-0.067432234,-0.012602928,0.011288694,0.002480779,0.101371718,-0.285428724,0.588019405
bootstrap_15,-2.584562676,0.364732133,-1.711302432,4.735261429,0.844588047,0.012845423,0.552424666,6.263609969,-0.004026119,0.057387396,-0.169306172,-0.008859513,-0.032174268,0.117816092,-0.097206168,0.108491301,-0.25165441
bootstrap_16,-2.430540864,-0.031383867,0.172236679,0.069166265,1.047358821,-0.114337879,0.57835298,-8.637655888,0.009151989,-0.014898168,0.013308905,-0.020807611,0.047695489,-0.090703232,0.254654115,-0.352574836,0.452542669
bootstrap_17,-2.288910175,0.023708471,-1.093094495,3.862000455,0.786824834,-0.272063071,0.559431604,-3.200145793,0.006539361,0.037447252,-0.142348395,-0.011854527,-0.032318783,0.134751498,0.131800436,-0.272935166,0.446376007
bootstrap_18,-2.404263768,0.49119578,-1.295022134,3.274498974,0.897150676,0.47820888,-0.26731435,-5.560501035,-0.012219242,0.045462226,-0.119672867,0.006465567,-0.021661054,0.05950718,0.205582503,-0.453951171,0.875036838
bootstrap_19,-2.710672306,1.305049764,-3.253568669,7.472313771,0.697072306,1.568778083,-1.16931647,5.999279429,-0.042186708,0.119681652,-0.279582393,0.032610855,-0.095744589,0.22561374,-0.087078339,0.07320837,-0.182079651
bootstrap_20,-2.249929583,0.095188428,-0.660678031,2.667110626,0.939235131,0.122651938,0.013564244,1.961148846,3.80E-05,0.028922315,-0.113616021,-0.003232445,-0.020409721,0.096138189,0.000555839,0.020094602,-0.159348645
bootstrap_21,-2.250310584,-0.075693466,-0.227710611,1.451019622,0.882321584,-0.329025692,0.63794132,1.159937341,0.011083238,0.000723412,-0.041671056,-0.017656482,0.009901305,0.025164138,0.01313713,0.014797821,-0.197331346
bootstrap_22,-2.282793864,0.047971757,-0.295846592,1.305798463,0.754745331,-0.020624356,0.20709455,9.972632414,0.004989816,0.005061752,-0.037175068,-0.009316425,0.009368351,0.002115708,-0.216295014,0.565450431,-1.412004266
bootstrap_23,-2.360877687,1.112188593,-2.981166905,7.107261909,0.777543712,1.440860123,-1.423190388,5.128765676,-0.03883638,0.1167638,-0.280359087,0.039740488,-0.117361654,0.281520756,-0.069694741,0.007223041,0.060092311
