age_group_5yr,mean_pred,sd_pred,min_pred,max_pred,p05_pred,p10_pred,p20_pred,p25_pred,p30_pred,p40_pred,p50_pred,p60_pred,p75_pred,p80_pred,p90_pred,p95_pred
"[20,25)",0.01056678,0.032371171,0.000115088,0.394581077,0.000479272,0.000745849,0.001261905,0.001503839,0.001762429,0.00274462,0.003885554,0.006136769,0.010554468,0.012217286,0.019622683,0.027114936
"[25,30)",0.021782668,0.041888808,0.00055287,0.5658615,0.002497586,0.003292228,0.005318608,0.006934166,0.008046261,0.010485954,0.014285818,0.017648848,0.025144718,0.02980738,0.03998089,0.055269596
"[30,35)",0.048401158,0.075217821,0.003003562,0.826677111,0.008064288,0.011123475,0.016099775,0.018249565,0.020498321,0.025704903,0.030731184,0.036953075,0.053044358,0.060746561,0.082022827,0.114277286
"[35,40)",0.083083982,0.103504598,0.005769803,0.857050448,0.019051167,0.02372332,0.032036945,0.035896419,0.038712339,0.046601725,0.056115076,0.066681101,0.090292138,0.101282971,0.138879571,0.215831747
"[40,45)",0.132951105,0.131809581,0.022652671,0.914881807,0.038897699,0.046952396,0.056421255,0.06122938,0.066256155,0.080624659,0.095427701,0.111812811,0.147320029,0.163800028,0.237896575,0.386724644
"[45,50)",0.202364867,0.160959344,0.042797053,0.953741084,0.067769964,0.076585287,0.092417758,0.101662821,0.113423931,0.13375083,0.153607184,0.175261413,0.222389182,0.247968585,0.400272352,0.599438474
"[50,55)",0.281897789,0.186054718,0.065007792,0.964805495,0.100501008,0.116075433,0.140181248,0.151428184,0.169300463,0.197686243,0.224426743,0.2627882,0.328493863,0.372493105,0.56337137,0.726760171
"[55,60)",0.385548318,0.194981722,0.098628331,0.95093984,0.143203604,0.175173876,0.205256594,0.231249553,0.255879527,0.303623814,0.3511051,0.394570288,0.482799669,0.521816667,0.699746534,0.799543234
"[60,65)",0.479270942,0.197718205,0.114481715,0.954659704,0.211321993,0.241266922,0.291318392,0.317307072,0.344377091,0.397024261,0.455032042,0.50481847,0.608184441,0.669292478,0.792389511,0.853460737
"[65,70)",0.563731406,0.173062328,0.128336839,0.947573722,0.295727074,0.328724277,0.393225862,0.423946072,0.456027385,0.509186261,0.572974625,0.620838367,0.683803243,0.710084095,0.820229972,0.854156442
"[70,75)",0.64864537,0.141450415,0.279465413,0.918775582,0.403502752,0.452240951,0.514926614,0.538679421,0.562149769,0.608285334,0.665425748,0.706383207,0.753360897,0.767363344,0.846722902,0.862989989
"[75,80)",0.712130322,0.113446312,0.310729562,0.869757082,0.518319892,0.558170687,0.619127901,0.634669247,0.649685847,0.686822943,0.737297269,0.761498056,0.806164212,0.817184786,0.854618719,0.866095888
