clc_age,mean_pred_reduced,sd_pred_reduced,median_pred_reduced,iqr_pred_reduced
20,0.006141947,0.029478058,0.00138971,0.002608163
21,0.003423201,0.004502585,0.001820204,0.002534422
22,0.005495807,0.007497622,0.002811817,0.003811522
23,0.006185721,0.0121815,0.003096248,0.002888586
24,0.006410053,0.008143201,0.003258209,0.005858862
25,0.007386495,0.011304184,0.004311149,0.004926558
26,0.008390978,0.011071239,0.005266042,0.00587534
27,0.010933879,0.01393855,0.007347367,0.007479749
28,0.01264098,0.018501823,0.008254393,0.009309224
29,0.013400054,0.014590862,0.008602242,0.010671903
30,0.01811754,0.02491633,0.010702034,0.012094425
31,0.019190035,0.019100239,0.013576327,0.014664795
32,0.023714436,0.042125185,0.012419372,0.012284638
33,0.028155622,0.042551073,0.018982077,0.018652727
34,0.028958783,0.039569572,0.02053932,0.020744266
35,0.045161901,0.073923842,0.025302552,0.027920582
36,0.036406884,0.039496224,0.026918311,0.024597837
37,0.044090852,0.045721029,0.032718751,0.029469094
38,0.056916052,0.068894743,0.040403588,0.036940012
39,0.055876437,0.066804618,0.04013151,0.038140532
40,0.064975411,0.056429673,0.050001489,0.050511318
41,0.07466288,0.067708328,0.057664182,0.051516924
42,0.088617645,0.085882529,0.065583608,0.061799395
43,0.092476161,0.077710106,0.075038807,0.061813783
44,0.101344274,0.087129567,0.07824079,0.059190123
45,0.119378165,0.096390662,0.096460453,0.077413518
46,0.140761011,0.128949093,0.095233049,0.086186229
47,0.148872038,0.121348127,0.118544408,0.102324185
48,0.16098067,0.116351403,0.135183826,0.134670646
49,0.195322175,0.166970731,0.145444143,0.145615559
50,0.203750135,0.162369485,0.165298859,0.14410013
51,0.217510451,0.163134803,0.174446865,0.17061244
52,0.208711839,0.161418989,0.159370829,0.148080772
53,0.286714119,0.199929667,0.232057891,0.21785825
54,0.288279989,0.191040349,0.249498649,0.227114363
55,0.298000657,0.22302405,0.223472996,0.257809653
56,0.31880855,0.210487261,0.275288864,0.261480269
57,0.359758175,0.223348689,0.293501139,0.311594533
58,0.332380384,0.187655019,0.297671759,0.214427859
59,0.38103538,0.224820968,0.322576733,0.283653674
60,0.399190587,0.215717379,0.353850956,0.2710042
61,0.411081735,0.208914272,0.377329229,0.281501381
62,0.432962036,0.214231044,0.393970444,0.284949356
63,0.449608976,0.219706654,0.42512287,0.318227772
64,0.482075929,0.219504386,0.449975374,0.342981432
65,0.493040943,0.207812684,0.484831362,0.293893859
66,0.501682588,0.202972943,0.478354765,0.29282624
67,0.525690998,0.200830647,0.512453796,0.288162846
68,0.56432529,0.19126026,0.577054002,0.272788972
69,0.591982414,0.169656538,0.568798703,0.263580728
70,0.562402016,0.169888369,0.566141611,0.241891175
71,0.616611173,0.162864659,0.630557195,0.20216288
72,0.626737491,0.168290666,0.621499699,0.240792157
73,0.643168587,0.155391368,0.651740576,0.234413009
74,0.622351272,0.139577514,0.641228838,0.221632411
75,0.684772858,0.128843772,0.709891361,0.163329947
76,0.674432138,0.126197256,0.681278684,0.195562067
77,0.71747571,0.119154154,0.742982614,0.166532808
78,0.741551438,0.112362904,0.776863895,0.180142452
79,0.728819916,0.101800219,0.756618116,0.189248047
