age_group_5yr,mean_pred,sd_pred,min_pred,max_pred,p05_pred,p10_pred,p20_pred,p25_pred,p30_pred,p40_pred,p50_pred,p60_pred,p75_pred,p80_pred,p90_pred,p95_pred
"[20,25)",0.005645108,0.015506988,0.000415185,0.295654925,0.000736827,0.000951558,0.001271688,0.001398174,0.001549437,0.00185807,0.002298151,0.003123652,0.004579904,0.006438243,0.012878109,0.019361154
"[25,30)",0.010808137,0.014422408,0.001304752,0.178540154,0.002066372,0.002704354,0.003398594,0.00364618,0.004175212,0.00527201,0.006494815,0.007983769,0.011515181,0.013951829,0.021176612,0.035872964
"[30,35)",0.023986978,0.035763184,0.002527829,0.472157628,0.005588182,0.006609885,0.00851481,0.009393064,0.010379131,0.012396836,0.015412984,0.018676909,0.025480814,0.029557987,0.043599092,0.062313772
"[35,40)",0.048075399,0.060845501,0.006567231,0.551299839,0.011964256,0.014032989,0.017953016,0.01988666,0.021783507,0.027111615,0.032717618,0.03991759,0.0512874,0.058339194,0.08367778,0.113341025
"[40,45)",0.083206827,0.075966073,0.015128755,0.630960052,0.024320316,0.028000065,0.035711307,0.040004745,0.045145703,0.053814657,0.064500909,0.075980355,0.100748726,0.109787309,0.146234262,0.178247784
"[45,50)",0.151467707,0.128388232,0.022984156,0.786464952,0.039747269,0.047886287,0.064943754,0.072528317,0.079437752,0.096511783,0.115342064,0.137233647,0.187682721,0.20588342,0.266095254,0.442254261
"[50,55)",0.239490255,0.17919388,0.019901518,0.90120706,0.05675875,0.074912943,0.106767747,0.117613164,0.131843961,0.158111977,0.187403463,0.229132649,0.301245542,0.327911676,0.436835004,0.709710258
"[55,60)",0.33683392,0.216564334,0.037985093,0.937906612,0.081045551,0.100322197,0.150948639,0.174761625,0.192209445,0.238053091,0.280340609,0.340157477,0.435497422,0.486336597,0.683671132,0.826781749
"[60,65)",0.434597581,0.21724996,0.04743809,0.958877384,0.141863292,0.174143567,0.242644333,0.267699552,0.290556961,0.343111636,0.39533304,0.462118072,0.565961793,0.604320433,0.787493975,0.878025108
"[65,70)",0.530813503,0.199410551,0.094667692,0.960692094,0.201258215,0.27427305,0.35240387,0.384724068,0.414222876,0.467625019,0.518628121,0.579306497,0.676956526,0.713203966,0.820070838,0.876198217
"[70,75)",0.610318401,0.162911385,0.195061129,0.959470628,0.338806039,0.386987096,0.461331109,0.487670417,0.520452483,0.574355058,0.620873013,0.663198443,0.721783414,0.750273052,0.822886224,0.88530979
"[75,80)",0.709147947,0.120551261,0.36011009,0.946242328,0.499603199,0.53170996,0.590660448,0.613575042,0.644318467,0.690521867,0.731936635,0.762940506,0.803006116,0.81770857,0.853294286,0.871536264
