clc_age,reduced_predicted
20,0.001506554
21,0.001783024
22,0.002110121
23,0.002497074
24,0.002954776
25,0.003496079
26,0.004135913
27,0.00489069
28,0.005778679
29,0.006820191
30,0.008037541
31,0.009454894
32,0.011097988
33,0.012993695
34,0.015169395
35,0.017652136
36,0.020467569
37,0.023638656
38,0.02718416
39,0.031116954
40,0.035442208
41,0.040159506
42,0.045276778
43,0.050804363
44,0.056752287
45,0.063130696
46,0.069950345
47,0.077223121
48,0.084962587
49,0.093184547
50,0.101907596
51,0.11115366
52,0.120948503
53,0.131322194
54,0.142309503
55,0.153950235
56,0.166289446
57,0.179377548
58,0.193262545
59,0.207963199
60,0.223485428
61,0.239828347
62,0.256983507
63,0.274934234
64,0.293655062
65,0.31311134
66,0.333259018
67,0.354044645
68,0.375405624
69,0.397270705
70,0.419560752
71,0.44218975
72,0.465066055
73,0.488093822
74,0.511174598
75,0.534209
76,0.557098626
77,0.579748303
78,0.602067052
79,0.623969296
