clc_age,mean_pred_reduced,sd_pred_reduced,median_pred_reduced,iqr_pred_reduced
20,0.008295768,0.021263999,0.002561071,0.007921588
21,0.007967683,0.02552279,0.002822119,0.006475744
22,0.006401529,0.007515228,0.00314354,0.00857325
23,0.016321405,0.051712451,0.005402929,0.009730869
24,0.013114643,0.034210974,0.007159974,0.012289307
25,0.030500609,0.091433982,0.010489831,0.012411616
26,0.019584642,0.039101417,0.011261191,0.016995723
27,0.020203679,0.030557879,0.013672822,0.0161661
28,0.017960505,0.014082941,0.01381426,0.018161885
29,0.023113908,0.018090017,0.019140358,0.021185495
30,0.029231168,0.020036957,0.022645934,0.027603044
31,0.034902939,0.034204206,0.026268758,0.030216227
32,0.044984851,0.074378724,0.027808728,0.031497205
33,0.057578897,0.08870339,0.033351159,0.045860593
34,0.063238935,0.096355331,0.038779074,0.038624291
35,0.060451843,0.082125127,0.037995308,0.048815725
36,0.066814736,0.08542164,0.050741734,0.040439875
37,0.083239724,0.117690033,0.053715678,0.05185138
38,0.094018883,0.111408391,0.061196185,0.060672325
39,0.103359354,0.106042298,0.070970436,0.074760447
40,0.122206737,0.121433397,0.084597605,0.083258862
41,0.114076861,0.111400774,0.086266851,0.065721979
42,0.13602236,0.148683826,0.08859446,0.084319727
43,0.132936487,0.105479324,0.113429164,0.092576873
44,0.160783239,0.157146849,0.115352916,0.103925917
45,0.187536547,0.164417305,0.133517722,0.117335461
46,0.189972888,0.143887713,0.144266384,0.097614282
47,0.215327812,0.183295143,0.162052975,0.117589589
48,0.191507905,0.142958846,0.158181743,0.113503501
49,0.226647854,0.160128297,0.179526902,0.146046219
50,0.242761458,0.154615316,0.204913654,0.144268569
51,0.280909738,0.184965271,0.218654962,0.195659564
52,0.258544599,0.166033396,0.20983642,0.148817015
53,0.311100432,0.209462348,0.256726125,0.181025915
54,0.320377593,0.203041436,0.257540167,0.210144198
55,0.351633601,0.213404221,0.274114426,0.297207441
56,0.345958012,0.187856198,0.302446102,0.202134284
57,0.384923365,0.193846056,0.357218635,0.233554292
58,0.416895239,0.20046593,0.366405525,0.257754712
59,0.428409094,0.169496807,0.422486753,0.213072948
60,0.449533175,0.204002549,0.405385238,0.298850839
61,0.466397222,0.206081062,0.41936391,0.317570809
62,0.474854637,0.200750155,0.447090066,0.263415712
63,0.489251364,0.184401263,0.471303673,0.2663648
64,0.521009736,0.185344396,0.513557315,0.251764411
65,0.546046982,0.181861072,0.540840497,0.268932187
66,0.553599223,0.185851579,0.588086118,0.303314253
67,0.56886669,0.168093358,0.579424713,0.247074849
68,0.570252853,0.16521493,0.593415873,0.241678455
69,0.59046183,0.154265512,0.591626217,0.232506394
70,0.631358213,0.155120166,0.635910888,0.246649918
71,0.624888408,0.144317378,0.660343519,0.209965772
72,0.642326408,0.135958448,0.667408776,0.189265453
73,0.668007632,0.130488605,0.688370031,0.187096958
74,0.691813768,0.123059047,0.721292464,0.18072905
75,0.702828797,0.117632431,0.741506619,0.170315243
76,0.685147898,0.113158112,0.699737611,0.174515701
77,0.720677177,0.114648804,0.739534799,0.159321614
78,0.724678984,0.107231007,0.751257893,0.158308836
79,0.728237978,0.11015389,0.739174669,0.141785966
