clc_age,reduced_predicted
20,0.007384003
21,0.00817879
22,0.009058344
23,0.010031529
24,0.011108097
25,0.012298672
26,0.013614477
27,0.015067542
28,0.016670802
29,0.018438124
30,0.020384318
31,0.022525131
32,0.024877236
33,0.027458198
34,0.030286422
35,0.033381073
36,0.036761979
37,0.040449495
38,0.044464342
39,0.048827412
40,0.053559529
41,0.058682091
42,0.064220113
43,0.070200421
44,0.076650834
45,0.08360008
46,0.09107768
47,0.099113796
48,0.107739045
49,0.116984263
50,0.126880223
51,0.137457296
52,0.148745053
53,0.160771802
54,0.173564064
55,0.187145975
56,0.201538626
57,0.216759344
58,0.232819103
59,0.249715565
60,0.267436475
61,0.285960618
62,0.305257279
63,0.325285899
64,0.345995936
65,0.367326993
66,0.389209206
67,0.411563927
68,0.434304681
69,0.457338396
70,0.480566855
71,0.503888353
72,0.527199466
73,0.550396903
74,0.573379341
75,0.596049547
76,0.618316998
77,0.640098138
78,0.661317147
79,0.68190682
